class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
both_hand,0.497459322,0.640706599,-0.69946444,0.999950051,0.518339515,0.588093579,-0.665903807,0.999911249,0.536117613,0.584860921,-0.665610075,0.999886513,0.552301049,0.582284987,-0.66547513,0.999897599,0.476686209,0.593802154,-0.632705986,0.999921024,0.464266062,0.594780862,-0.632172585,0.999912977,0.451826483,0.595847785,-0.6321311,0.999937475,0.583484292,0.590523183,-0.383946508,0.999903083,0.447308511,0.603358567,-0.228466973,0.999958217,0.534793735,0.686916232,-0.597319126,0.999958158,0.483554989,0.689974308,-0.549174011,0.999966085,0.710745096,0.80409658,-0.240136862,0.999175549,0.358759105,0.803925633,-0.045796994,0.999855578,0.900546253,0.838223875,-0.655155897,0.49046576,0.122135311,0.848868072,-0.369238973,0.99094969,0.89050436,0.552489877,-1.064042687,0.197594792,0.152262568,0.535177648,-0.896885931,0.975156367,0.899573982,0.441186428,-1.176281929,0.19228965,0.155925363,0.428695083,-1.019474983,0.90999645,0.859800875,0.429379106,-1.099982619,0.23305884,0.191442087,0.416546583,-0.92294389,0.916335404,0.833289146,0.472094685,-1.055788636,0.245859057,0.204816714,0.452869415,-0.888121367,0.920678914,0.644320548,1.418936968,-0.082702868,0.00546491,0.390806377,1.413785338,0.086845547,0.011667266,0.635424316,1.940748572,-0.231090471,0.001170787,0.407336384,1.930826426,0.077473179,0.001162768,0.633601785,2.406868935,0.114093348,0.000227382,0.406502217,2.398616076,0.285770237,3.78E-05,0.64366734,2.470077991,0.120183639,0.000202181,0.402198166,2.457122326,0.28996253,9.23E-05,0.590381682,2.544336796,-0.400063455,6.00E-05,0.437477022,2.558051586,-0.253364265,8.97E-05
both_hand,0.495240778,0.641340554,-0.815991402,0.999954104,0.514867246,0.588569701,-0.774460196,0.999917805,0.53222692,0.585038066,-0.774187684,0.999895692,0.547921538,0.582295179,-0.773949564,0.999905229,0.474472076,0.594972849,-0.74282217,0.999926567,0.462278605,0.595988214,-0.742629051,0.999919236,0.449923843,0.597001076,-0.742534041,0.999941051,0.578272045,0.589298189,-0.457725555,0.999911189,0.443823457,0.603464067,-0.296989679,0.999961257,0.531520486,0.686506271,-0.699152768,0.999961078,0.482230216,0.690012693,-0.653049946,0.99996835,0.704076648,0.789507389,-0.289981723,0.999243081,0.359031588,0.79704833,-0.067724936,0.99985075,0.915595949,0.801290274,-0.782513559,0.541079104,0.125165537,0.858849227,-0.439421058,0.99174422,0.905488074,0.516931593,-1.300225735,0.277761132,0.162567437,0.546160996,-1.012945771,0.97755456,0.909896314,0.409664422,-1.433434129,0.272779137,0.165629596,0.439661652,-1.153990269,0.918529272,0.874246895,0.394936919,-1.363537073,0.309464782,0.203414947,0.42870152,-1.063847184,0.924260139,0.849917352,0.435856551,-1.297191739,0.320931315,0.218146309,0.464014679,-1.009743929,0.928144813,0.644089043,1.406171322,-0.086482309,0.006172788,0.393964082,1.401345611,0.090448804,0.011844141,0.634434938,1.929480672,-0.222353607,0.001354889,0.408242285,1.917730331,0.07020276,0.001217007,0.632629097,2.390275478,0.176743492,0.000236009,0.408298254,2.384855747,0.245217234,3.71E-05,0.642679572,2.453673363,0.190951303,0.000222957,0.404595554,2.442818642,0.247862071,0.000103431,0.58984679,2.525756598,-0.320869148,6.38E-05,0.438337177,2.544739008,-0.309532613,9.23E-05
both_hand,0.494693309,0.642475724,-0.790162385,0.999957919,0.514161646,0.58990562,-0.748716652,0.9999246,0.531385899,0.586039603,-0.748548985,0.999904335,0.546774924,0.582774758,-0.747878611,0.999913156,0.473910034,0.596599579,-0.696941078,0.999932528,0.46160993,0.597523093,-0.696389079,0.999925375,0.449038982,0.598538756,-0.696224511,0.999945462,0.576451182,0.589240849,-0.435607493,0.999918818,0.442532033,0.604161739,-0.23340936,0.999964237,0.530723095,0.686596334,-0.692524433,0.999964178,0.481939137,0.690241933,-0.615859151,0.999970794,0.703404307,0.787502348,-0.267185152,0.999303043,0.360890448,0.797293782,-0.018022994,0.999847829,0.927634478,0.787846625,-0.688662469,0.586731434,0.125169232,0.863689065,-0.315060377,0.992524445,0.900959313,0.493687898,-1.061586499,0.349859267,0.170333475,0.541178405,-0.805858195,0.979588926,0.90437007,0.389255315,-1.174555659,0.34481591,0.173715487,0.43623212,-0.933486462,0.925123155,0.869376242,0.372693837,-1.088446617,0.377796233,0.210636362,0.424597204,-0.826917946,0.930366814,0.846947193,0.415088743,-1.048532009,0.388042957,0.224946231,0.458459139,-0.794166625,0.933900714,0.645796895,1.41588378,-0.092086166,0.007975706,0.398010552,1.411767721,0.09610758,0.013296658,0.634714186,1.934753895,-0.17481631,0.001708154,0.410489112,1.926516056,0.118998192,0.001356024,0.634231389,2.391505241,0.231425777,0.000256349,0.411092132,2.387973309,0.341437042,3.78E-05,0.645744741,2.453966379,0.245845288,0.000251568,0.407212496,2.444401264,0.350780457,0.000124401,0.590346575,2.530524969,-0.252591819,6.74E-05,0.44277516,2.550962448,-0.183366954,0.000101649
both_hand,0.49444899,0.642688155,-0.698120594,0.999961495,0.513493776,0.590607047,-0.658345282,0.999930918,0.530066848,0.586575925,-0.658142209,0.999912381,0.544913232,0.582988262,-0.657786906,0.999920666,0.473997772,0.59755671,-0.611395538,0.999937952,0.461792767,0.598511577,-0.610709727,0.999930859,0.449233592,0.599596083,-0.61070919,0.999949515,0.574086964,0.589003205,-0.390822023,0.999925971,0.443030596,0.604775548,-0.160368428,0.999966919,0.53031975,0.686085701,-0.610031605,0.999966979,0.481958956,0.690322518,-0.537198722,0.999972999,0.70434612,0.788266242,-0.255819917,0.999359787,0.36281091,0.797654212,0.039358784,0.999844134,0.93059063,0.783733904,-0.674621642,0.627805054,0.131727055,0.861687541,-0.180803046,0.993201494,0.893554211,0.468764067,-1.017167211,0.41476661,0.191278964,0.536415875,-0.590340912,0.981393158,0.892028511,0.360835314,-1.126496077,0.409770846,0.196504802,0.43396008,-0.712168813,0.931084633,0.858380735,0.347002,-1.034734726,0.439439893,0.231304884,0.420148849,-0.603053987,0.935954034,0.840784371,0.396647692,-1.001282692,0.448579282,0.243528277,0.454350412,-0.579035521,0.939121723,0.65057838,1.419644713,-0.094260916,0.009234805,0.402617484,1.415126085,0.098535269,0.014081783,0.639282346,1.936908245,-0.129394919,0.001937898,0.416431129,1.929733753,0.139226109,0.001407613,0.641387641,2.389809847,0.285790622,0.000251712,0.416509539,2.38787818,0.380447,3.61E-05,0.65497297,2.452120304,0.301253706,0.000254112,0.412596822,2.443626165,0.392353326,0.000124936,0.595529616,2.529970407,-0.195905969,6.68E-05,0.448438913,2.553771496,-0.137730137,0.000101762
both_hand,0.494614482,0.643275201,-0.698813796,0.999964893,0.51387018,0.591255784,-0.660191178,0.999937057,0.530466139,0.587170303,-0.660003066,0.999920189,0.545206845,0.583362579,-0.659755766,0.999927819,0.474103093,0.598466396,-0.618716419,0.999943376,0.46188134,0.599541783,-0.61812228,0.99993664,0.449403137,0.600813389,-0.618204772,0.999953687,0.574094653,0.58899796,-0.389723808,0.999932706,0.443423182,0.606153488,-0.182422131,0.999969661,0.530547321,0.686047971,-0.61008209,0.99996978,0.482235372,0.690431833,-0.539572179,0.999975204,0.704419732,0.791350663,-0.249704227,0.999411166,0.365593314,0.797883928,-0.005105183,0.999837279,0.93287456,0.786561668,-0.68894124,0.664773703,0.141115516,0.861712158,-0.319532096,0.993806481,0.893742323,0.465401322,-1.060387015,0.473179966,0.201852724,0.531652927,-0.820117772,0.983023942,0.888670504,0.362234414,-1.179722309,0.468257278,0.207388595,0.431531638,-0.956605613,0.936511517,0.85514009,0.343437582,-1.087300658,0.494961381,0.241057247,0.417223155,-0.85544318,0.941048026,0.839467883,0.391034067,-1.045991421,0.503094435,0.253476143,0.451256096,-0.812679887,0.943865538,0.65054369,1.421521544,-0.092656769,0.010231092,0.402876109,1.416027308,0.09692239,0.014427785,0.638221681,1.937915087,-0.138576135,0.002174587,0.416188359,1.929335475,0.123212814,0.001419469,0.63903445,2.390575886,0.265476614,0.000249985,0.415597677,2.387691021,0.339296192,3.40E-05,0.652238965,2.453289509,0.279115975,0.000258426,0.411696821,2.444038153,0.344308853,0.000122397,0.591681719,2.530621052,-0.213101134,6.62E-05,0.446596384,2.55390811,-0.188585833,9.94E-05
both_hand,0.493949622,0.642241061,-0.700558186,0.999967694,0.513535023,0.59097594,-0.661659718,0.999942124,0.529988229,0.586667776,-0.661455452,0.999926686,0.544568598,0.582603395,-0.661243558,0.999933779,0.47413674,0.598412514,-0.623351455,0.999947727,0.461974651,0.599488378,-0.622780442,0.999941051,0.449416727,0.600773215,-0.622843266,0.999956846,0.573579371,0.58760345,-0.388477623,0.999938488,0.443698287,0.606142402,-0.185127139,0.999971867,0.529837608,0.683581114,-0.609955311,0.999972045,0.481870174,0.689399779,-0.544146299,0.999976993,0.704898298,0.794134676,-0.246013835,0.999456048,0.367522359,0.798098862,0.009364732,0.999831676,0.931491911,0.795036972,-0.66071111,0.698060274,0.143067926,0.860055685,-0.161546603,0.994360149,0.89020288,0.468401432,-1.015758276,0.525758803,0.207589984,0.530733049,-0.489624262,0.984483004,0.886857212,0.363249123,-1.126455307,0.520938635,0.214876413,0.430125207,-0.597818851,0.941237688,0.853317857,0.35069713,-1.040572047,0.54496336,0.246849731,0.415630341,-0.493861973,0.945465565,0.837784827,0.395681918,-1.002829552,0.552182496,0.258866578,0.449370712,-0.476860493,0.94799304,0.65030688,1.422511458,-0.09303268,0.010948861,0.402699858,1.416300416,0.097358868,0.014664965,0.63768065,1.93958354,-0.160480157,0.002310707,0.416041106,1.929947376,0.086285658,0.001433683,0.638827741,2.392738342,0.231464714,0.000253464,0.415711641,2.388866186,0.26336965,3.24E-05,0.652112663,2.455842495,0.243105546,0.000272666,0.411835343,2.445487976,0.266309768,0.000122468,0.59196341,2.532448292,-0.268450141,6.79E-05,0.446722329,2.555186272,-0.283042848,1.00E-04
both_hand,0.489844292,0.640323341,-0.665959716,0.999970317,0.509961545,0.590238929,-0.631035805,0.999946654,0.525983691,0.585553586,-0.630761325,0.999932349,0.54133445,0.581141949,-0.630528212,0.999939144,0.472635448,0.597895086,-0.582573771,0.999951661,0.460848033,0.599050879,-0.581941068,0.999944925,0.448640674,0.600344658,-0.581980407,0.999959767,0.572277248,0.58588016,-0.381774843,0.999943495,0.443897516,0.605513573,-0.127181128,0.999973714,0.526539683,0.680955827,-0.580887198,0.999973953,0.47973299,0.687414765,-0.506955504,0.999978483,0.705267072,0.7953493,-0.250049323,0.99949044,0.371445328,0.798413277,0.089697719,0.99982971,0.935725749,0.80067724,-0.676284015,0.727952182,0.142755941,0.859931886,-0.039836787,0.99483639,0.885466278,0.468822956,-0.998307407,0.573068798,0.209994078,0.527712941,-0.381959081,0.985785544,0.883852303,0.363519132,-1.107560635,0.568295121,0.217702746,0.428789467,-0.487863988,0.945571363,0.850391209,0.347704262,-1.007846951,0.58990854,0.249018252,0.414322883,-0.385554671,0.949548662,0.834449649,0.39425537,-0.979095817,0.596303165,0.261415333,0.447698683,-0.371807188,0.951775253,0.651718259,1.424390316,-0.124130033,0.0109294,0.406178743,1.417760968,0.128649831,0.014287129,0.638576508,1.940979362,-0.182088763,0.00229504,0.421077758,1.932091832,0.163141996,0.001376157,0.640987933,2.394790411,0.22285904,0.000240475,0.421095729,2.390935659,0.40015474,3.01E-05,0.656040668,2.458263874,0.235751301,0.000260496,0.417950124,2.448139906,0.412685037,0.000116966,0.592391431,2.533557415,-0.273238242,6.54E-05,0.447103113,2.556093454,-0.119819999,9.71E-05
both_hand,0.490596294,0.636216044,-0.673283756,0.999972939,0.510517597,0.587388694,-0.638098955,0.999951422,0.526263714,0.582549214,-0.637832582,0.999938309,0.54156065,0.578360915,-0.637650728,0.999944627,0.472794473,0.596026719,-0.595910966,0.999955833,0.461024404,0.597414613,-0.595323801,0.999949396,0.448727787,0.598883331,-0.59537226,0.999963045,0.572429121,0.584215164,-0.376564801,0.999948621,0.443805903,0.604753435,-0.150849193,0.999975801,0.526700258,0.677220881,-0.582886934,0.999976099,0.479817659,0.683913112,-0.517261446,0.999980152,0.702390075,0.793559611,-0.252590835,0.999525189,0.371292591,0.798577547,0.049680337,0.9998191,0.931714416,0.801909745,-0.728112519,0.754755378,0.142445445,0.861053824,-0.199422106,0.995235562,0.882601082,0.476768613,-1.065689802,0.615666866,0.211562917,0.527579546,-0.597941816,0.986913621,0.881894171,0.372392327,-1.179604769,0.611010373,0.219712362,0.428263545,-0.722238779,0.949358106,0.848559022,0.35572055,-1.069453597,0.630462229,0.250801891,0.415860802,-0.649433911,0.95316571,0.832282901,0.400542289,-1.043312788,0.63612175,0.263156831,0.450159848,-0.599939287,0.95509541,0.651237488,1.425410748,-0.120734923,0.010959737,0.406072319,1.419002414,0.125300854,0.01382249,0.637405753,1.941723824,-0.181827784,0.002428216,0.420716226,1.933594942,0.18819949,0.00136505,0.63996464,2.395479679,0.214356139,0.000236275,0.420164794,2.392050028,0.442454815,2.83E-05,0.655249536,2.459445477,0.225324407,0.000257598,0.41701445,2.449551821,0.455807924,0.000113631,0.590116143,2.533693075,-0.286167622,6.48E-05,0.444492847,2.556603909,-0.072588965,9.64E-05
both_hand,0.491491407,0.63060832,-0.677696049,0.999975085,0.511329949,0.583292842,-0.63742125,0.999955118,0.526746869,0.57882458,-0.637163222,0.999943018,0.541635275,0.575190187,-0.636963248,0.999949038,0.472994298,0.592119873,-0.598793983,0.999959052,0.461286455,0.593822956,-0.598244488,0.999952734,0.448814988,0.59538281,-0.59827584,0.999965429,0.572243989,0.582407534,-0.365544587,0.999952734,0.443694174,0.602897108,-0.158821777,0.999977291,0.526836753,0.673700035,-0.583869636,0.999977767,0.479893953,0.679414868,-0.524029791,0.999981463,0.700703502,0.793757439,-0.252301663,0.999559045,0.370539725,0.79873836,0.03484254,0.999813259,0.932680905,0.802843153,-0.704715133,0.779040813,0.141895354,0.862198293,-0.233944595,0.995627403,0.880951703,0.478346407,-1.053406835,0.654009998,0.210787475,0.52636975,-0.676391065,0.987968862,0.881050646,0.376008004,-1.166224241,0.649422646,0.219859883,0.427376002,-0.802320123,0.952719688,0.848378956,0.362344652,-1.062107921,0.666911006,0.251239061,0.415861249,-0.698430419,0.956290662,0.831125855,0.405032635,-1.033268213,0.671906054,0.263015836,0.450031966,-0.667651594,0.95798856,0.65099591,1.42552197,-0.119429149,0.011870801,0.405836314,1.419645905,0.123929374,0.014303647,0.637173057,1.941305518,-0.153455883,0.00263818,0.420375109,1.933598995,0.17913796,0.001410056,0.639834464,2.39391017,0.253372073,0.000236352,0.420170039,2.391471863,0.39910239,2.75E-05,0.654914141,2.457327604,0.266579777,0.000260227,0.417008042,2.448808908,0.407952219,0.000114971,0.590332031,2.533416748,-0.234172538,6.53E-05,0.445621729,2.556260586,-0.103281908,9.85E-05
both_hand,0.49263826,0.628289819,-0.740305424,0.999976575,0.512603819,0.582240283,-0.693016768,0.99995786,0.527585149,0.577941537,-0.692837715,0.999946415,0.542059481,0.574465454,-0.69259721,0.999952257,0.473237365,0.591026545,-0.656988382,0.999961257,0.461525321,0.592753172,-0.656525016,0.9999547,0.448893368,0.594359159,-0.656499803,0.999966741,0.572361231,0.582194746,-0.395146519,0.999955893,0.443392366,0.602633536,-0.20206596,0.999978125,0.527160287,0.672278821,-0.636547387,0.99997896,0.479969531,0.678399086,-0.58287698,0.999982297,0.699778974,0.794084311,-0.28342551,0.999584317,0.370515347,0.802096307,0.033093933,0.999792695,0.932785571,0.797996581,-0.793384194,0.800816357,0.140846968,0.867118895,-0.299149603,0.995963812,0.879839659,0.48027277,-1.189917684,0.688514948,0.211770803,0.525808334,-0.857496738,0.98893255,0.880200267,0.379435956,-1.314483762,0.68401134,0.220664099,0.426736802,-0.9899351,0.955886185,0.847818434,0.365796745,-1.20459342,0.69973433,0.252064556,0.415966153,-0.876959562,0.959233463,0.830234408,0.405292422,-1.167981267,0.704104006,0.263676047,0.450145036,-0.846023142,0.960725605,0.653606117,1.42608726,-0.118505441,0.012020097,0.409620196,1.422980785,0.12282221,0.014084014,0.645063698,1.941544056,-0.153536648,0.002726344,0.427730858,1.937298894,0.165409327,0.001396045,0.653407872,2.394712687,0.279456496,0.000236967,0.43728292,2.394313097,0.427630782,2.65E-05,0.66812104,2.458281517,0.294828206,0.000259172,0.435667813,2.45108819,0.441341847,0.000115305,0.608285129,2.534246445,-0.220963091,6.50E-05,0.466818929,2.558618784,-0.099076524,1.00E-04
