class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
right_hand,0.55466646,0.6118958,-0.892617226,0.999950647,0.586549997,0.561901867,-0.82810992,0.999917924,0.604739547,0.563794017,-0.828093886,0.999908686,0.623677552,0.5662871,-0.82833147,0.999913454,0.54256022,0.556716263,-0.802788973,0.999916315,0.528698981,0.555734217,-0.80226928,0.999900818,0.514953494,0.555128574,-0.802561283,0.999902308,0.656348169,0.593115389,-0.423049271,0.999914706,0.505003929,0.581816733,-0.28728798,0.999931753,0.579327226,0.680965066,-0.751684129,0.999908864,0.533332527,0.672356069,-0.715802908,0.999909759,0.761888146,0.894224286,-0.314387262,0.998890102,0.358824968,0.841896892,-0.104252599,0.99457252,0.898777425,1.245789647,-0.503421605,0.934685588,0.113460563,0.748085082,-0.617698729,0.458412439,0.852515817,1.537496924,-0.745881796,0.921146333,0.150532305,0.331209004,-1.208542705,0.366482913,0.873740733,1.633919597,-0.854046047,0.904311657,0.163475215,0.210520551,-1.393917322,0.408435225,0.832936704,1.618053675,-0.89962256,0.912742674,0.195143923,0.200343147,-1.288481236,0.522486269,0.809413731,1.587917805,-0.787272513,0.913347721,0.206380278,0.237804249,-1.208835483,0.529326439,0.697339773,1.608140349,-0.111237548,0.018114887,0.406248242,1.60816443,0.115896121,0.008677525,0.68095988,2.216681719,-0.21889852,0.005683612,0.405304968,2.21245718,0.086944968,0.001747461,0.67881453,2.77082324,0.311715573,0.000372335,0.412991822,2.75189352,0.42331782,2.36E-05,0.688875139,2.850717545,0.330267131,0.000629887,0.40745607,2.822572231,0.443281651,0.000225685,0.634902596,2.925823689,-0.327204436,0.000221875,0.451883554,2.923089266,-0.243677437,0.000125052
right_hand,0.57181406,0.612959623,-0.908968747,0.999947131,0.605128706,0.562847376,-0.836129189,0.9999156,0.624484599,0.56540972,-0.836121082,0.999901891,0.644164085,0.568676531,-0.83628732,0.999910474,0.560563803,0.557030082,-0.81712693,0.999912441,0.54664427,0.55594182,-0.816533983,0.999894142,0.531823575,0.555230439,-0.816799164,0.999901414,0.67537719,0.598155439,-0.41510725,0.999908507,0.519130886,0.581449866,-0.301413506,0.999929845,0.595778167,0.682538748,-0.763143599,0.999912202,0.549257278,0.67325151,-0.735508561,0.999912977,0.777054429,0.913140953,-0.309395492,0.998895168,0.367710948,0.835484147,-0.137787491,0.99508518,0.887465179,1.279250503,-0.438272774,0.885368764,0.092194937,0.732327878,-0.68362689,0.512391269,0.861433387,1.568470478,-0.687050581,0.855977297,0.152608827,0.293816984,-1.269546747,0.428530484,0.879668653,1.665201187,-0.79567498,0.835031509,0.177647039,0.18063353,-1.456728697,0.459113359,0.838833153,1.646345139,-0.838843107,0.848972976,0.213675961,0.168663993,-1.346823692,0.562756002,0.817045689,1.616054058,-0.728858471,0.851488173,0.220947087,0.208602056,-1.269955993,0.569742262,0.705375135,1.613945007,-0.110893957,0.016808178,0.407850266,1.61732316,0.115786597,0.008956037,0.681910634,2.218010426,-0.233379334,0.005333633,0.404344767,2.220573664,0.145302787,0.001759103,0.677387059,2.771121502,0.268313706,0.000361613,0.410540342,2.75876689,0.52323097,2.36E-05,0.686656654,2.851015806,0.283731014,0.000592358,0.405043334,2.829907894,0.546867251,0.000211448,0.632577658,2.925990105,-0.384438068,0.000206154,0.449430913,2.925628901,-0.142619193,0.000123961
right_hand,0.585447669,0.613699198,-0.762494802,0.999947965,0.618000627,0.56322372,-0.690305829,0.999917686,0.636298716,0.565990806,-0.690172553,0.999901414,0.655048668,0.569550157,-0.690444887,0.999912143,0.574485183,0.557305932,-0.686909139,0.999915183,0.560168564,0.556132734,-0.686259329,0.999896944,0.544813216,0.555341184,-0.686509609,0.999906898,0.679706693,0.60049504,-0.291093618,0.999907076,0.526907921,0.581122696,-0.250521094,0.999933839,0.607218385,0.683603942,-0.625626445,0.999916971,0.559753299,0.67362988,-0.618558109,0.999919116,0.775389433,0.922849417,-0.171448186,0.998919547,0.369826823,0.83021903,-0.137567684,0.995565653,0.878387451,1.286798596,-0.242820546,0.832970858,0.092159726,0.729674697,-0.610292077,0.560996592,0.869746864,1.571795344,-0.436242282,0.782046854,0.156516299,0.281099051,-1.04835701,0.484627575,0.889711857,1.668922305,-0.529802263,0.761391342,0.178897902,0.170298263,-1.208824158,0.506386757,0.850652218,1.644853234,-0.569125175,0.777691722,0.22296007,0.163725153,-1.118283987,0.600229323,0.828785658,1.615157008,-0.478253216,0.782381117,0.232236102,0.205575496,-1.049685597,0.607461214,0.712978005,1.613365531,-0.078269519,0.0159327,0.411440045,1.617440343,0.082140751,0.010066342,0.684348226,2.217345238,-0.213768959,0.00499163,0.404063523,2.217564821,0.071349524,0.001782062,0.675647736,2.767582178,0.226202831,0.000360095,0.408999979,2.754565001,0.494515479,2.48E-05,0.683626056,2.84578824,0.237142205,0.000575989,0.402285129,2.825680971,0.476274937,0.00019998,0.635745525,2.924856663,-0.368561387,0.000193129,0.453971356,2.923499107,-0.259633899,0.00012276
right_hand,0.581417203,0.615387499,-0.732908309,0.999948084,0.61184597,0.564322114,-0.665405452,0.999918282,0.628672421,0.566962183,-0.665249288,0.999899507,0.646710634,0.570391953,-0.665482163,0.999912858,0.569153428,0.558329761,-0.659071565,0.999916673,0.554730058,0.55700165,-0.658446789,0.999898016,0.540142417,0.556059062,-0.658650815,0.999910712,0.674620807,0.600691557,-0.284509689,0.999905169,0.526527584,0.579895258,-0.235839516,0.999936223,0.605300426,0.683598042,-0.602555037,0.999921143,0.556297481,0.673716247,-0.591514587,0.999924004,0.773654163,0.91758734,-0.172257066,0.998976946,0.375615299,0.829390824,-0.123693153,0.995998442,0.876875162,1.279760957,-0.224472508,0.808818758,0.094010286,0.733682513,-0.524421573,0.604750335,0.865930676,1.558651567,-0.384254485,0.722894967,0.155796245,0.304214805,-0.932523131,0.53473568,0.874999046,1.669893503,-0.470513731,0.699818671,0.175273702,0.183417678,-1.092906594,0.5466851,0.839244485,1.645315766,-0.515051186,0.71957922,0.21593605,0.171405226,-1.009021878,0.631775796,0.819475532,1.61532557,-0.424764663,0.726533532,0.225211218,0.214278325,-0.936886728,0.639595985,0.707952738,1.612641096,-0.067160673,0.015650265,0.414663374,1.614221692,0.070737466,0.012111882,0.684862912,2.210325003,-0.178115815,0.00467902,0.410143495,2.216484308,0.047856931,0.001793957,0.671789289,2.756139278,0.257153392,0.000351141,0.409167349,2.75316906,0.382165819,2.64E-05,0.679885864,2.830872536,0.268932998,0.000551882,0.401529402,2.8233428,0.361618102,0.000191374,0.62996155,2.918026447,-0.318726629,0.000180374,0.452791184,2.92015934,-0.320201904,0.000121794
right_hand,0.578415394,0.615662575,-0.725460231,0.999948025,0.609366596,0.56488353,-0.660885572,0.999918282,0.625288725,0.567493379,-0.660708427,0.999896944,0.642509401,0.570761383,-0.660971761,0.999912977,0.565490246,0.558831811,-0.653602719,0.999917746,0.550537586,0.557430983,-0.652963936,0.999898672,0.53520292,0.556397736,-0.653147936,0.99991411,0.6707533,0.600677252,-0.28703326,0.999903023,0.520847917,0.579285264,-0.233038574,0.999938488,0.604307413,0.683601797,-0.596491635,0.99992466,0.552388787,0.673752904,-0.583423555,0.999928415,0.771816373,0.913494766,-0.164601654,0.999009907,0.375628203,0.826381147,-0.123319827,0.996387482,0.88145858,1.27339232,-0.19037196,0.781571925,0.094271027,0.727974176,-0.492750376,0.644116163,0.866739035,1.55221796,-0.317411333,0.665403724,0.156834915,0.302150697,-0.853368402,0.579929054,0.884463727,1.664026022,-0.391838282,0.641496301,0.17405948,0.180780604,-1.005836606,0.583429575,0.847092271,1.641368747,-0.436301291,0.663792431,0.212143466,0.166867957,-0.920657396,0.660603404,0.827888966,1.612277389,-0.357291192,0.672591984,0.221546307,0.207999989,-0.856123149,0.668639004,0.707530975,1.60583663,-0.064702176,0.014932116,0.413297683,1.613490582,0.068257734,0.012871013,0.682478726,2.202535629,-0.200730115,0.004368036,0.408101112,2.212724209,0.05113906,0.001782077,0.670231402,2.747923374,0.216591701,0.000350717,0.408304244,2.748133421,0.332262844,2.82E-05,0.678242266,2.822869539,0.226784453,0.000542117,0.400641888,2.817629814,0.336361587,0.000183813,0.629534423,2.910936594,-0.367315561,0.00017099,0.453505039,2.915294409,-0.297995925,0.00012356
right_hand,0.577955484,0.616285861,-0.703286171,0.99995029,0.609122515,0.56572628,-0.639730692,0.999921918,0.624293923,0.568386734,-0.63948679,0.999900401,0.641289115,0.571498513,-0.639748394,0.999916971,0.564269066,0.559304178,-0.633091569,0.999921799,0.549125612,0.557710886,-0.632451832,0.999903321,0.533428431,0.556513727,-0.632622719,0.999919415,0.669028103,0.600655913,-0.26723066,0.999906957,0.517218411,0.578577459,-0.218501315,0.999942124,0.60427165,0.683636904,-0.57470727,0.999929786,0.55085218,0.6738379,-0.563055992,0.99993372,0.772195458,0.911923289,-0.15431729,0.999072731,0.374393165,0.826058805,-0.116923869,0.996739984,0.878009975,1.27693522,-0.188604161,0.758396208,0.09248139,0.741495252,-0.58959657,0.679483652,0.867150724,1.572302103,-0.302213281,0.610769868,0.157301888,0.305301636,-1.073730826,0.619805396,0.882570982,1.6754632,-0.378480971,0.586932957,0.176454693,0.182271749,-1.243727684,0.612776637,0.845554411,1.653992534,-0.425107777,0.610983372,0.213256016,0.16981627,-1.147419691,0.682813823,0.826864421,1.62329936,-0.34223327,0.620598137,0.221509084,0.210505903,-1.075739741,0.691746831,0.704679549,1.602231026,-0.060060732,0.01469989,0.412304938,1.611291885,0.06359984,0.014567173,0.68529582,2.198555231,-0.200938687,0.004165152,0.412730962,2.210597992,0.050859556,0.001831351,0.673491955,2.745204926,0.201568753,0.000357617,0.412322074,2.746440411,0.312425405,3.08E-05,0.680795908,2.819832325,0.21021466,0.000538878,0.403729826,2.816147566,0.322135001,0.000179365,0.634084761,2.910823345,-0.385996461,0.000162588,0.456623882,2.914628029,-0.306741059,0.000123023
right_hand,0.578800976,0.612369418,-0.681803524,0.999947965,0.609703064,0.560181022,-0.616408587,0.999919713,0.624356866,0.562629163,-0.616177857,0.999895513,0.640937924,0.565974355,-0.616436303,0.999915421,0.563800454,0.555297434,-0.60866797,0.999919653,0.547548294,0.554303885,-0.608054817,0.999900103,0.531456888,0.553877413,-0.608276725,0.999919891,0.66820991,0.597520828,-0.249044314,0.999903202,0.513820708,0.576013803,-0.197414696,0.999941111,0.606259763,0.680290937,-0.55605948,0.999930739,0.551317811,0.671528161,-0.543442249,0.999935389,0.774126351,0.91230607,-0.14211908,0.999095201,0.373637855,0.82348907,-0.115097888,0.997047365,0.876417458,1.277207613,-0.176090866,0.727856457,0.094767727,0.745267808,-0.538654923,0.711219966,0.870811522,1.558054566,-0.283296883,0.559107482,0.15883562,0.312143296,-0.966848731,0.654820919,0.882870972,1.67259109,-0.34948951,0.535916269,0.177991718,0.189634874,-1.12188375,0.635198534,0.845737517,1.652920008,-0.394652754,0.560663998,0.21440199,0.175470591,-1.032386899,0.699190795,0.826680124,1.6224792,-0.3214342,0.570695639,0.222895116,0.216587886,-0.969326973,0.708706737,0.702416778,1.600910068,-0.060271792,0.014302579,0.408386856,1.609974504,0.0638211,0.015349631,0.683207333,2.195857525,-0.216969147,0.003937065,0.412462443,2.206523418,0.018072177,0.001848353,0.672118366,2.74448514,0.145493016,0.000360279,0.409477651,2.743947744,0.229255378,3.26E-05,0.68057251,2.819545031,0.151110768,0.000533591,0.39894864,2.814516306,0.237705126,0.000173269,0.630806327,2.910708904,-0.435775608,0.000156348,0.456319422,2.911877155,-0.379276872,0.000124786
right_hand,0.577890038,0.61200732,-0.683547974,0.999948978,0.608943582,0.559376895,-0.619183064,0.999921381,0.623736024,0.56165266,-0.618943155,0.999896765,0.63977778,0.564987957,-0.619182527,0.999917388,0.562577844,0.554957688,-0.61166048,0.999921739,0.546147287,0.554124177,-0.611091197,0.999902785,0.52990818,0.553925216,-0.611311972,0.999923527,0.66736418,0.59679848,-0.252997696,0.999904573,0.511701226,0.575610697,-0.201805443,0.999943495,0.605870187,0.680012226,-0.55822742,0.999934375,0.550352991,0.671583235,-0.545691431,0.999939501,0.775477827,0.914745152,-0.143416241,0.999147117,0.374381602,0.825023592,-0.113884404,0.997333884,0.877943218,1.287908077,-0.188660279,0.711850107,0.094562359,0.746482491,-0.578406274,0.739885628,0.873842299,1.556453943,-0.331926525,0.51352489,0.158083767,0.319847107,-1.06865716,0.68728596,0.888264954,1.678570032,-0.413155466,0.490536213,0.176738337,0.194201127,-1.235917091,0.659873068,0.849433184,1.656362534,-0.46048671,0.516254067,0.213422149,0.179567903,-1.148748875,0.718065143,0.830233574,1.625651836,-0.372716457,0.52682066,0.222617388,0.222929761,-1.072289467,0.728115618,0.701145589,1.602525115,-0.053040206,0.014594176,0.408087641,1.609779358,0.056527913,0.017878179,0.684165835,2.197909832,-0.172060013,0.003920149,0.414752454,2.20709753,-0.012640443,0.002040814,0.672098875,2.748289585,0.230015531,0.000393527,0.410352081,2.746051788,0.200199038,3.80E-05,0.679872811,2.82373786,0.237812847,0.00056589,0.399498254,2.817037106,0.20847255,0.000177853,0.632136822,2.915551186,-0.335667938,0.000153896,0.455876261,2.915759563,-0.409234732,0.000127987
right_hand,0.578180909,0.610772371,-0.685052216,0.999949276,0.609688163,0.557864308,-0.618339717,0.999922097,0.624500573,0.560212374,-0.618120849,0.999895811,0.640253842,0.563719749,-0.618322134,0.999918282,0.562195122,0.553475618,-0.610968828,0.999922454,0.545189083,0.552713335,-0.610373616,0.999902904,0.528851926,0.552777886,-0.610625207,0.999925733,0.667600334,0.596099615,-0.243955195,0.999904335,0.510089934,0.574811876,-0.193177402,0.999944568,0.606478691,0.679241061,-0.557756484,0.99993664,0.549979389,0.671130478,-0.545368791,0.999942243,0.774122536,0.914458692,-0.141838595,0.999168992,0.374236286,0.825814903,-0.11313802,0.997584045,0.875229478,1.288728952,-0.197449282,0.685563624,0.091797516,0.747953296,-0.620999813,0.765597165,0.871549904,1.548532248,-0.327463567,0.475186735,0.157675549,0.313083857,-1.147043943,0.716030598,0.884797037,1.657540917,-0.404265672,0.45236668,0.176369756,0.186740533,-1.320045471,0.680250823,0.846784234,1.647471666,-0.448588341,0.479817152,0.215347648,0.177003175,-1.216828823,0.733431637,0.827820241,1.617636323,-0.366558701,0.491044104,0.224702433,0.21933797,-1.148129225,0.744434237,0.700857043,1.602412224,-0.054903463,0.013968159,0.407570541,1.608834982,0.058506005,0.018020269,0.686607063,2.197792292,-0.187083974,0.003653301,0.414265692,2.206366777,0.0346618,0.001951624,0.675197005,2.74737668,0.225157231,0.000377029,0.409981757,2.745506048,0.334179342,3.70E-05,0.682981312,2.822433233,0.233552903,0.000535094,0.399217606,2.816619635,0.353616327,0.00016742,0.634254038,2.915345669,-0.355964452,0.000143335,0.454627544,2.915347576,-0.273923814,0.000123102
right_hand,0.576766074,0.609429657,-0.688744009,0.999949753,0.608397067,0.556157112,-0.624888837,0.999922812,0.623607755,0.558178127,-0.6246773,0.99989599,0.639035523,0.56156683,-0.624877989,0.999919355,0.560674787,0.552447379,-0.615006864,0.999923408,0.543802142,0.551825881,-0.614424407,0.999903858,0.527642131,0.552123129,-0.614680827,0.999927998,0.666491628,0.594015121,-0.253494471,0.999905169,0.509060621,0.573989213,-0.194427416,0.999945939,0.606020868,0.678098679,-0.563545704,0.999939501,0.54886049,0.670556128,-0.547468126,0.999945283,0.776144803,0.914865255,-0.151545539,0.999199808,0.375584006,0.826071143,-0.112571858,0.997814,0.875978291,1.295447946,-0.226081774,0.667478681,0.093227334,0.758222699,-0.597561181,0.788776159,0.873053491,1.560914278,-0.373456091,0.440268934,0.15661332,0.329913616,-1.137779593,0.742418885,0.883725107,1.682275772,-0.456003189,0.417597175,0.174035683,0.207944632,-1.312187791,0.701239049,0.84576714,1.660161018,-0.501465559,0.446520925,0.212142512,0.190942809,-1.219626546,0.749718845,0.826723993,1.629464507,-0.413229793,0.458445609,0.222305655,0.234695479,-1.142416,0.761096716,0.705532134,1.604298711,-0.056032784,0.013785649,0.40797025,1.609832644,0.059663393,0.019265668,0.688188255,2.201550007,-0.1587466,0.003535935,0.415570974,2.208765507,0.036499709,0.001988751,0.67672044,2.750798702,0.273162425,0.000388295,0.411274731,2.748029709,0.326922774,3.89E-05,0.684683442,2.825954914,0.283198506,0.000540002,0.400761336,2.819080591,0.343927592,0.000165852,0.635060549,2.919043541,-0.302077264,0.000138012,0.45529744,2.920706272,-0.281206638,0.000123124
