class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
sab1,0.470618695,0.128181607,-0.456428498,0.999985516,0.479082674,0.10869991,-0.435066521,0.999946117,0.484909266,0.109220661,-0.434968024,0.999931514,0.490533292,0.109812088,-0.435013264,0.999919534,0.46346727,0.109332986,-0.434295624,0.999960005,0.459135145,0.110151544,-0.434333444,0.999959469,0.45448491,0.111185186,-0.434339076,0.999961495,0.503723085,0.121870495,-0.261730224,0.999929428,0.451816887,0.125690743,-0.261694938,0.999894559,0.484283149,0.150047377,-0.390477657,0.999972165,0.46341154,0.151574224,-0.390202194,0.999979436,0.559072673,0.232593507,-0.121843055,0.999934673,0.413523078,0.241648048,-0.140981242,0.999942899,0.599478006,0.358358622,0.043999583,0.993053854,0.351392031,0.354465544,-0.30469358,0.996647477,0.602944493,0.482076108,0.056020271,0.986607134,0.390571624,0.254710436,-0.646865845,0.996047795,0.604407668,0.523423851,0.06477204,0.961403847,0.403729111,0.228597969,-0.707460999,0.987870038,0.593581438,0.519479811,0.023612741,0.959159374,0.410609722,0.220439583,-0.692399502,0.986706495,0.58970964,0.505751669,0.045749925,0.953191221,0.410029322,0.229541898,-0.647461534,0.979738057,0.541236818,0.518983305,0.001872039,0.999785841,0.45428732,0.531000733,-0.002061209,0.999935925,0.558832765,0.712426901,-0.038465641,0.981332242,0.466821939,0.739505291,0.05503099,0.986416817,0.541874111,0.591731429,0.542275846,0.67331475,0.493745774,0.920097053,0.329953641,0.981853426,0.530182481,0.557522953,0.603268921,0.492640316,0.502688229,0.937925518,0.357113093,0.894370496,0.536296964,0.586892068,0.610780239,0.712319732,0.482889533,0.977305114,0.261027664,0.972827673
sab1,0.468285978,0.129429385,-0.450815082,0.999985993,0.477187961,0.109364256,-0.429051071,0.999947786,0.483061701,0.109663554,-0.4289774,0.999934256,0.489030004,0.11012508,-0.429034114,0.999922216,0.460979015,0.110078573,-0.429172844,0.999961317,0.456540614,0.110716105,-0.429190695,0.999960959,0.452390224,0.111530557,-0.429199934,0.999962449,0.501323581,0.12181329,-0.257244319,0.999933243,0.450068653,0.125602454,-0.260086477,0.999899328,0.481495291,0.150538191,-0.384101242,0.999973774,0.460502416,0.152193442,-0.385036707,0.99998039,0.556705415,0.231893927,-0.117997177,0.999939501,0.410587639,0.241472542,-0.136957899,0.999946892,0.597666323,0.35834527,0.045293305,0.992921472,0.347959191,0.356645823,-0.300358891,0.9963516,0.603002489,0.479760349,0.034095157,0.986413717,0.388044924,0.258831799,-0.646117449,0.995977104,0.605177343,0.518989503,0.035964008,0.96097815,0.401938021,0.233182266,-0.708579361,0.987871289,0.594265163,0.5146029,-0.004808444,0.95872575,0.408899963,0.223495007,-0.692510724,0.986686885,0.590068102,0.501475036,0.023112206,0.953135014,0.407936484,0.23254104,-0.646324098,0.979670942,0.533484042,0.518904924,0.002074403,0.999803007,0.446037084,0.530450881,-0.002264678,0.999940693,0.556070387,0.710142374,-0.044014581,0.978843451,0.465341032,0.740338922,0.048274804,0.984506249,0.547631085,0.585380673,0.553542376,0.629245281,0.489996046,0.919920444,0.338568091,0.978653729,0.537756681,0.551240683,0.615372002,0.470842361,0.496335775,0.935919344,0.367883295,0.888992727,0.540696919,0.597064376,0.631533265,0.673823595,0.481123596,0.977452934,0.269424111,0.969172657
sab1,0.466835886,0.132302076,-0.442779422,0.999985814,0.475872099,0.111737996,-0.422165811,0.999947011,0.481790304,0.111701034,-0.422093451,0.999933839,0.487999946,0.111818761,-0.422144234,0.999921381,0.459629267,0.1127268,-0.420988053,0.99996078,0.455041915,0.113175973,-0.42099297,0.999960423,0.45101589,0.113922074,-0.420991927,0.999961436,0.500021875,0.122273631,-0.256311804,0.999934673,0.449215382,0.126528695,-0.25362125,0.999899268,0.480400652,0.152764484,-0.377906084,0.999974549,0.459517688,0.154465973,-0.377020597,0.999980688,0.556626081,0.231856942,-0.118070446,0.999943793,0.410616994,0.242607504,-0.134084582,0.999950051,0.597348809,0.358796328,0.042676207,0.992963612,0.34621042,0.357627034,-0.296141684,0.996105433,0.603487432,0.481067449,0.032090407,0.986613929,0.386855751,0.260326564,-0.639258385,0.995910645,0.606289744,0.520418406,0.034206208,0.961534739,0.401218504,0.232884064,-0.701602519,0.987854481,0.594895601,0.515544713,-0.00639541,0.959354162,0.408093303,0.223600313,-0.685285687,0.986651897,0.590344608,0.502814114,0.021390226,0.95403266,0.407519639,0.233096406,-0.639165044,0.979596078,0.534130812,0.519278586,0.002373077,0.999816358,0.447170913,0.530533969,-0.002561897,0.999944389,0.556037128,0.707140803,-0.023689855,0.974421144,0.464311123,0.739992678,0.050645117,0.982155144,0.546895802,0.603512466,0.565131724,0.58406651,0.489516884,0.919682443,0.328834206,0.973989308,0.537189484,0.571259439,0.624173939,0.44485268,0.496845216,0.935607314,0.35597378,0.881257296,0.538879693,0.641483545,0.636189759,0.631754398,0.479657352,0.97701633,0.248090357,0.963708282
sab1,0.468425721,0.132035285,-0.441718549,0.999985933,0.477485985,0.111710057,-0.419634044,0.999947131,0.483391374,0.111634746,-0.4195638,0.999934375,0.489434898,0.111722633,-0.419618964,0.999921679,0.461235285,0.112636551,-0.419753045,0.999961257,0.456507444,0.113107197,-0.419770837,0.999961019,0.452290088,0.113878876,-0.419762999,0.999961555,0.5011127,0.121859953,-0.252225369,0.999937117,0.449884027,0.125719398,-0.253470242,0.999902546,0.481855422,0.152683929,-0.375958949,0.999975502,0.460791171,0.154366374,-0.376708627,0.999981165,0.557006776,0.230501875,-0.117448479,0.99994725,0.410921454,0.242970884,-0.130136088,0.999952853,0.597599089,0.357342452,0.05131413,0.993060529,0.346305519,0.358826667,-0.291154593,0.995956421,0.606383085,0.481248736,0.055702463,0.986764252,0.386426002,0.261169732,-0.638462424,0.995934129,0.609389246,0.520377338,0.061142735,0.961948931,0.401264638,0.232776403,-0.701954246,0.988030493,0.598159552,0.51571995,0.019815054,0.959792852,0.408294111,0.223652706,-0.686634958,0.986840248,0.593122303,0.502988696,0.044955436,0.954849958,0.407575577,0.233165413,-0.639255524,0.979876399,0.535390198,0.521841228,-0.002037312,0.99982655,0.448539615,0.532556176,0.001867305,0.999947309,0.554430604,0.707546115,-0.020435184,0.972060621,0.46261397,0.741931677,0.076274283,0.980336607,0.546718419,0.60319376,0.568362057,0.545071721,0.490972877,0.921285927,0.353413612,0.971837163,0.536792517,0.572094977,0.627686918,0.424252689,0.497435331,0.93816781,0.379862964,0.880974531,0.538345635,0.636854708,0.636853039,0.596241415,0.476561636,0.977024019,0.275323689,0.961357117
sab1,0.46940729,0.131885946,-0.441339314,0.999986112,0.478472829,0.111639746,-0.418357104,0.999947608,0.484377474,0.111595027,-0.418280005,0.999935567,0.490328908,0.111713178,-0.418336809,0.999922633,0.462209761,0.112588026,-0.41896975,0.999962211,0.457404494,0.11309021,-0.418993503,0.999962091,0.453082949,0.113845669,-0.418985099,0.999962151,0.501951456,0.121843465,-0.250795782,0.99993974,0.450259954,0.125675946,-0.253278255,0.999906778,0.482789755,0.152643934,-0.375707597,0.999976575,0.461614579,0.154304013,-0.376839489,0.999981821,0.557725549,0.230506197,-0.117752574,0.999950111,0.411328763,0.244521126,-0.130709752,0.999955654,0.597828984,0.35767585,0.046026479,0.993131101,0.346258014,0.359357238,-0.292337269,0.995922089,0.607628286,0.481513858,0.042703342,0.986807346,0.386261225,0.263415158,-0.62956059,0.995970964,0.610218704,0.520877481,0.045870021,0.962000847,0.401272207,0.234732747,-0.690582514,0.988145769,0.599493206,0.516163051,0.004968344,0.959798336,0.408416897,0.225398406,-0.674395084,0.986939788,0.594489872,0.503507137,0.031737003,0.955213726,0.407607973,0.234517515,-0.629785717,0.980043232,0.53618294,0.522944927,-0.002649641,0.999838412,0.449358463,0.533547282,0.002483018,0.999950826,0.556131244,0.708485425,-0.046549588,0.97200799,0.463732064,0.747183502,0.068321094,0.979702592,0.544383764,0.596486986,0.538798392,0.514425337,0.491870642,0.921810269,0.363280565,0.970598936,0.531236172,0.561737835,0.600300848,0.411195338,0.497712642,0.939625919,0.392710209,0.881882966,0.53682065,0.608884513,0.625755131,0.568920553,0.47666198,0.977220356,0.301508486,0.959939837
sab1,0.470042378,0.131337017,-0.442362547,0.999986827,0.47911483,0.110936873,-0.41915071,0.999949932,0.485000819,0.110771798,-0.419066519,0.999938965,0.490888149,0.110759862,-0.419107378,0.999926209,0.462767512,0.111913174,-0.419164121,0.999964178,0.45780161,0.112450436,-0.419195235,0.999964237,0.453420162,0.113244072,-0.419196755,0.99996388,0.502485573,0.120762907,-0.251646221,0.999943614,0.450517952,0.124916419,-0.256094575,0.99991262,0.483394861,0.152458847,-0.376129597,0.999978006,0.462090105,0.154151201,-0.377251923,0.999982774,0.55796504,0.230506316,-0.123257801,0.99995321,0.411447495,0.244494826,-0.129071355,0.999958336,0.597902656,0.35771811,0.043332729,0.993335068,0.346593171,0.362391949,-0.279617786,0.995842874,0.608531535,0.481016546,0.039944898,0.987199843,0.385810494,0.266677082,-0.618469656,0.996048808,0.610948503,0.520644903,0.043872021,0.962954521,0.401172251,0.238522649,-0.677600145,0.988413513,0.600664556,0.516307533,0.002902506,0.960763991,0.408349693,0.229229435,-0.664583981,0.987223208,0.595766366,0.5034585,0.0289522,0.956553817,0.4075827,0.237697378,-0.619660854,0.980482638,0.536451042,0.523150325,-0.009174462,0.999850333,0.449912876,0.533965051,0.00899764,0.999954343,0.55542326,0.708970964,-0.048627917,0.973012745,0.464026839,0.750514686,0.081369668,0.97971344,0.546625257,0.596291304,0.529872835,0.496510029,0.492426127,0.92192626,0.385885656,0.970300376,0.532900929,0.563594818,0.590183377,0.406247348,0.498611838,0.939866185,0.416135341,0.884420693,0.542789638,0.596683264,0.620776176,0.553767264,0.474038243,0.977029204,0.332042843,0.959709764
sab1,0.470105648,0.13062951,-0.452332586,0.999987483,0.47954464,0.110137664,-0.429706484,0.999952137,0.485639572,0.109909318,-0.4296211,0.999941945,0.491387904,0.109945454,-0.429654717,0.999929488,0.462887526,0.111178741,-0.429739922,0.999966085,0.457930744,0.111676887,-0.42978999,0.999966145,0.45366326,0.112417057,-0.429777592,0.999965608,0.502865314,0.119875923,-0.260890931,0.999946892,0.450565398,0.123516127,-0.264025807,0.999918044,0.483608305,0.15214628,-0.385956377,0.999979258,0.462187231,0.153705329,-0.386987031,0.999983668,0.558104038,0.229236454,-0.135959789,0.999956012,0.411727339,0.244390875,-0.122392423,0.999961376,0.59804672,0.357672155,0.020294808,0.993360639,0.346261382,0.354665428,-0.265907049,0.995589972,0.608100593,0.481032133,0.010166612,0.986634433,0.385804683,0.26256147,-0.607768953,0.995776653,0.609626591,0.519868672,0.011288655,0.961127698,0.400839031,0.229889929,-0.666236579,0.987772703,0.59963274,0.515696943,-0.0305459,0.958758235,0.408462852,0.223595098,-0.652889252,0.986488581,0.5950858,0.503086388,-0.001673685,0.954857588,0.407786667,0.233665034,-0.609427035,0.979542673,0.538636863,0.522061825,-0.014361507,0.999860168,0.452371687,0.533099413,0.014186223,0.999957621,0.555158734,0.708757102,-0.049123749,0.972756207,0.465479016,0.748323858,0.090348884,0.979099214,0.557881534,0.581016958,0.515701652,0.469461083,0.492790371,0.921735704,0.375404984,0.969070673,0.549049675,0.548270702,0.574400306,0.392845452,0.499456078,0.940098226,0.403072417,0.884716988,0.55718255,0.573370039,0.606402099,0.53065455,0.472984195,0.976854265,0.316071302,0.958442509
sab1,0.471776873,0.130570531,-0.453115314,0.99998796,0.481232822,0.110026799,-0.43050167,0.999953628,0.487394184,0.109783545,-0.430425704,0.999943852,0.49283129,0.109824084,-0.430453807,0.999931455,0.464143783,0.111153126,-0.431132972,0.999967396,0.458967417,0.111659154,-0.431189805,0.999967515,0.454254568,0.112393789,-0.431184679,0.99996686,0.504026592,0.119091444,-0.260268122,0.999948919,0.450815082,0.123091765,-0.265230745,0.999922633,0.485630155,0.152140751,-0.385995299,0.999980211,0.463802129,0.153674975,-0.387655318,0.999984443,0.558128774,0.226822495,-0.13406758,0.999958694,0.411759704,0.243334204,-0.122199044,0.999964178,0.598171294,0.356559813,0.025865454,0.993112922,0.345982492,0.350695729,-0.272836119,0.995434761,0.607377946,0.48076281,0.011050261,0.985905409,0.385957122,0.256144762,-0.616889894,0.995638132,0.608917713,0.519235492,0.012986856,0.959310353,0.400926918,0.222050771,-0.677804232,0.98751837,0.599135697,0.51551497,-0.030322982,0.956892252,0.408517718,0.217295066,-0.662842989,0.986211956,0.594551921,0.502946913,-0.001516783,0.953222096,0.407875508,0.227803245,-0.617958665,0.979155064,0.542117536,0.521832108,-0.01238693,0.999866545,0.457032233,0.532837212,0.012213775,0.999959767,0.555093944,0.708759367,-0.04400396,0.96770227,0.466425598,0.745084703,0.093452282,0.976295471,0.56263262,0.583472252,0.529376924,0.435017198,0.493320525,0.921641946,0.363494009,0.965768754,0.558906674,0.546601713,0.591529548,0.372302413,0.500005841,0.940659344,0.389975518,0.880747795,0.560922384,0.575970232,0.629243493,0.498545945,0.47507295,0.975154161,0.290235102,0.954958975
sab1,0.474224776,0.128321737,-0.443316221,0.999988317,0.48354131,0.10744945,-0.419671357,0.99995476,0.489351273,0.107251003,-0.419600576,0.999945164,0.494324774,0.107331812,-0.419603169,0.999933124,0.465960741,0.10909199,-0.421530515,0.999968231,0.460548759,0.109807827,-0.421587259,0.99996835,0.455457807,0.110715374,-0.42157656,0.999967754,0.505000174,0.116675526,-0.246920526,0.99995023,0.45145601,0.122050509,-0.259592623,0.999925435,0.487519085,0.150722817,-0.376092553,0.999981046,0.466067463,0.152705371,-0.379747748,0.999985099,0.558261573,0.223180413,-0.122129396,0.999961674,0.412491828,0.242494211,-0.121457882,0.999966502,0.598303854,0.352375627,0.030091777,0.993106425,0.345851004,0.348888606,-0.275430471,0.995434165,0.607321918,0.477471679,0.007828793,0.986038744,0.386097372,0.252568036,-0.617395163,0.99559629,0.608916402,0.516225815,0.007492686,0.959722281,0.400990218,0.218376949,-0.678749681,0.987454414,0.599075019,0.513360798,-0.03408787,0.957389653,0.408580154,0.214358196,-0.660890162,0.986140072,0.594496489,0.500392914,-0.004175487,0.953796864,0.408019036,0.225047693,-0.61703968,0.979072392,0.54578346,0.520252109,-0.007976234,0.999872625,0.461226553,0.531858861,0.007768509,0.999961078,0.555375874,0.708050966,-0.037656877,0.96119523,0.470878482,0.740251005,0.08220987,0.972172558,0.561169326,0.587470472,0.534515262,0.400809437,0.493469954,0.9165169,0.359568834,0.956896007,0.557512641,0.552884638,0.60063529,0.347718537,0.499414563,0.934559226,0.387373626,0.864916384,0.556886971,0.597563624,0.633163691,0.465634465,0.49827525,0.971449733,0.29066214,0.946526468
sab1,0.474742502,0.12802273,-0.443438262,0.999988019,0.484284371,0.10732767,-0.420130521,0.999953389,0.490239918,0.107178032,-0.420069307,0.999943793,0.49534604,0.107297495,-0.420064569,0.999931395,0.466641873,0.108999051,-0.421593964,0.999967217,0.461144775,0.109768726,-0.421650231,0.999967515,0.455910802,0.110707484,-0.421648711,0.999966919,0.5073452,0.116732657,-0.252466768,0.999949336,0.452577859,0.12211176,-0.260604531,0.999923706,0.488359421,0.150602147,-0.378160447,0.999981165,0.466711491,0.152544916,-0.380804718,0.999985039,0.562442839,0.223460972,-0.13036941,0.999963701,0.4151088,0.24386324,-0.134723336,0.999967635,0.598781586,0.352661043,0.013429183,0.992987931,0.349612653,0.353051484,-0.29770267,0.995315075,0.609431446,0.477531791,-0.01309636,0.986043513,0.386630327,0.256577045,-0.644718826,0.995592535,0.61124289,0.516661227,-0.013047922,0.959898114,0.401618809,0.222360969,-0.705880165,0.987555683,0.601450384,0.513662338,-0.051220056,0.957641065,0.409235626,0.216718405,-0.686586797,0.986249268,0.596998572,0.50067699,-0.023423601,0.954175234,0.408915788,0.22707063,-0.643234372,0.979214549,0.546534181,0.521143973,-0.005678116,0.999877751,0.462157041,0.531964839,0.00545322,0.999961853,0.556157112,0.708130956,-0.035857718,0.9546628,0.473117739,0.741358161,0.076973245,0.968463302,0.559633136,0.593867242,0.555884242,0.371529579,0.494207442,0.915345013,0.369478434,0.947821975,0.554551423,0.55998528,0.620728791,0.326630771,0.499705642,0.927454174,0.399945676,0.848916054,0.554453373,0.611827791,0.641835332,0.437897801,0.506336391,0.971403003,0.308095932,0.937997162
