class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
sab00,0.509049654,0.05890581,-0.29422313,0.999958396,0.515582144,0.043449752,-0.268494844,0.999897063,0.521305561,0.046023771,-0.26859504,0.999910116,0.527172923,0.048735537,-0.268656373,0.999907792,0.498504132,0.039974242,-0.271377951,0.999889314,0.490636319,0.039988108,-0.271353304,0.999861717,0.4835715,0.040708136,-0.27134338,0.999829888,0.532419443,0.060921773,-0.105279207,0.999728143,0.469747841,0.052914128,-0.092817128,0.999941051,0.515928924,0.082176492,-0.235454187,0.999939501,0.496506929,0.0804829,-0.232171625,0.999962747,0.565908551,0.196546957,-0.010475411,0.999967933,0.417915314,0.185879126,0.013192279,0.999785542,0.586370051,0.334669024,-0.185752809,0.992714703,0.37877804,0.334254652,-0.134925485,0.919873774,0.563438535,0.239761427,-0.514762819,0.994730771,0.396552861,0.218988493,-0.516868532,0.746702194,0.560713828,0.209740356,-0.571376145,0.987049401,0.399805963,0.189349949,-0.583293676,0.68137759,0.559175432,0.189287722,-0.556124806,0.9857651,0.400875568,0.173899159,-0.568993628,0.682860374,0.557155848,0.19582653,-0.511623621,0.978598654,0.398898929,0.181958899,-0.518436015,0.68534857,0.512983561,0.488492519,0.012857164,0.99995476,0.426870614,0.477067441,-0.01303294,0.999795437,0.493189633,0.716808438,-0.029194748,0.981582463,0.410054773,0.693697453,-0.080851018,0.976050198,0.477864385,0.8926301,0.29681614,0.981348336,0.440009713,0.679542422,0.575720131,0.64114356,0.468312204,0.918653131,0.32580924,0.867551863,0.442227304,0.655110002,0.644363463,0.461558759,0.484425217,0.961331725,0.181007117,0.965173244,0.44285813,0.749232233,0.622474551,0.681453347
sab00,0.50457269,0.046499491,-0.300867647,0.999961913,0.511436522,0.025187394,-0.271688342,0.999906659,0.517570376,0.026728073,-0.271783531,0.999918342,0.523518205,0.028285431,-0.271833122,0.999916136,0.494505644,0.022416886,-0.272453189,0.999899149,0.487677544,0.022289043,-0.27243045,0.999873936,0.480904162,0.0228258,-0.272408336,0.999844968,0.526729584,0.04164017,-0.100762814,0.999754488,0.465205371,0.037773166,-0.0958132,0.999945283,0.512191772,0.075868174,-0.236855894,0.999945402,0.492075324,0.073080294,-0.232773021,0.999965966,0.564150751,0.181948721,-0.011688249,0.999970734,0.41242063,0.173341841,-0.005424392,0.999796212,0.583837092,0.336810768,-0.202006549,0.993020594,0.377228081,0.32680124,-0.203418881,0.926164865,0.556976795,0.241688102,-0.527438879,0.995094299,0.402289093,0.216249853,-0.598080456,0.771390676,0.55115211,0.214783192,-0.580937088,0.987906814,0.413183123,0.190298811,-0.669032812,0.711682081,0.550847292,0.194976762,-0.563432574,0.9867028,0.413367033,0.171267316,-0.650282562,0.712761343,0.549594164,0.201981544,-0.51529187,0.979914248,0.410186797,0.180327669,-0.598452628,0.71413964,0.510568678,0.482771754,0.008067443,0.999957681,0.420624644,0.471218884,-0.008248276,0.999800503,0.488307476,0.712132692,-0.019192442,0.982712686,0.405129433,0.695128918,-0.06576626,0.975545168,0.476381421,0.892349303,0.316677302,0.981032789,0.429891795,0.669932246,0.588064253,0.599048495,0.466941714,0.917114139,0.345078588,0.851251543,0.436980158,0.645776689,0.656043231,0.434696257,0.476567924,0.96694392,0.201422319,0.964246571,0.433331817,0.73832953,0.636378586,0.647472382
sab00,0.505461514,0.048549604,-0.25452137,0.999964476,0.512040436,0.027759064,-0.224087223,0.999914527,0.517924011,0.02905987,-0.224177077,0.999925077,0.523398578,0.030406781,-0.22424145,0.999922931,0.494784236,0.024948135,-0.225923032,0.999906778,0.488264859,0.024857961,-0.22590369,0.999883413,0.482034117,0.025658268,-0.225823581,0.99985683,0.525886416,0.041768402,-0.047808297,0.999776959,0.464221507,0.039407335,-0.055628061,0.999947131,0.513044059,0.073990569,-0.18775095,0.999950349,0.49155879,0.073598027,-0.189321816,0.999968052,0.563736081,0.175770044,0.040137202,0.999973297,0.41011852,0.168983459,0.034418203,0.999804258,0.584533632,0.335984468,-0.122984335,0.993199348,0.377761781,0.328291982,-0.133650362,0.93162179,0.556376934,0.237153143,-0.45158276,0.995414257,0.40267542,0.215881497,-0.491930723,0.793395936,0.551710844,0.210759819,-0.507193029,0.98867774,0.417305857,0.186734393,-0.560293078,0.738552868,0.552383244,0.191170692,-0.49439469,0.987558603,0.418065727,0.169184148,-0.545595944,0.739279807,0.550592065,0.199161857,-0.44913581,0.981118679,0.414995551,0.177410752,-0.493419379,0.739516795,0.511478126,0.479740053,0.009237688,0.999960005,0.42213273,0.467908084,-0.009355575,0.999801815,0.484322757,0.712243497,-0.015922042,0.983928144,0.404892117,0.697967649,-0.097927608,0.976055741,0.477055788,0.893620193,0.290288001,0.981617928,0.431302845,0.655355453,0.540090859,0.569571078,0.468423218,0.916362166,0.315952152,0.844948292,0.43852365,0.627243817,0.606899381,0.413450897,0.477483004,0.968137562,0.179275453,0.965045393,0.434675008,0.723676324,0.604519367,0.621694446
sab00,0.503324747,0.05514738,-0.21232757,0.999967098,0.511124432,0.031700503,-0.181552902,0.999922037,0.51708883,0.032935195,-0.181622937,0.999931514,0.522361338,0.034171328,-0.181687862,0.999929547,0.492602021,0.027895551,-0.180660039,0.999914289,0.485663205,0.027200337,-0.180672839,0.999892771,0.479563385,0.027433859,-0.180576786,0.999868751,0.525955737,0.044418115,-0.008942204,0.999797702,0.46372062,0.037494145,-0.005964785,0.999949336,0.510346174,0.083098255,-0.147368282,0.999954939,0.4893727,0.081900597,-0.146508157,0.999970257,0.56392324,0.180210635,0.062112745,0.999975562,0.412070334,0.170650616,0.082320705,0.999812901,0.585125148,0.338499725,-0.116031788,0.993380547,0.382112682,0.328541338,-0.10199514,0.935358405,0.553857088,0.237939566,-0.43749854,0.995709538,0.411527872,0.223471567,-0.478627592,0.812968969,0.547810853,0.21303311,-0.494138777,0.989403307,0.422227591,0.198213309,-0.552857459,0.762489378,0.547838211,0.193635523,-0.482641459,0.988361955,0.423664629,0.178376585,-0.536651194,0.762930036,0.546199203,0.199802294,-0.436119527,0.982268274,0.423029572,0.184625298,-0.481341988,0.762106001,0.512926102,0.480264395,-0.000520012,0.999962389,0.422285646,0.467484027,0.000314367,0.999809086,0.483077109,0.716572225,-0.045228824,0.985159695,0.408759296,0.701727033,-0.100471087,0.977176368,0.478337169,0.895651281,0.287189841,0.982405841,0.456821293,0.687699735,0.540127754,0.564992785,0.470538318,0.916817605,0.315916151,0.842045665,0.473195016,0.66021508,0.60679543,0.404759884,0.477306694,0.970377207,0.17519629,0.966430485,0.474988192,0.767157853,0.589224994,0.618855953
sab00,0.505383492,0.054614317,-0.229442149,0.999968886,0.512605309,0.030320276,-0.198039263,0.999928176,0.517871261,0.031074896,-0.198120326,0.9999367,0.522309303,0.031820498,-0.198180899,0.999934912,0.494985849,0.027982978,-0.199315056,0.999919951,0.488006622,0.027268885,-0.19932358,0.999899745,0.481454998,0.026965711,-0.199259877,0.999878049,0.524158418,0.041379768,-0.0232439,0.999815226,0.465824246,0.036810163,-0.030781534,0.999948859,0.511377335,0.08160679,-0.164058611,0.999958754,0.491518736,0.081215136,-0.166284412,0.99997139,0.56291312,0.176491737,0.043581504,0.99997741,0.41136381,0.170171455,0.061430007,0.99981004,0.585212111,0.337803006,-0.138459221,0.993400753,0.382879436,0.327878267,-0.126623467,0.938114882,0.553996623,0.242196754,-0.471234381,0.995921671,0.421108723,0.225229308,-0.517280757,0.830077469,0.54626894,0.217380568,-0.528252423,0.989949405,0.428712398,0.203545809,-0.590431631,0.783079267,0.546165347,0.197328702,-0.515719116,0.988971233,0.429736674,0.182846472,-0.570767641,0.783154309,0.544473529,0.201778367,-0.470142812,0.983093441,0.42988947,0.187515244,-0.518141091,0.780852079,0.513510644,0.478633821,-0.006393823,0.99996233,0.420745432,0.466308683,0.006188096,0.999801397,0.483725548,0.716319084,-0.058764577,0.986135542,0.408742338,0.698249817,-0.108238146,0.977784872,0.479243219,0.895473003,0.262495458,0.982779026,0.464577347,0.684144557,0.516940832,0.555905819,0.471734703,0.916325629,0.286406428,0.83552438,0.483746469,0.671238482,0.581766605,0.395071715,0.476173609,0.970143616,0.147307634,0.967019916,0.489271551,0.7776739,0.560016632,0.611689627
sab00,0.506106019,0.053449336,-0.243148282,0.999970675,0.513495982,0.029006323,-0.206088617,0.999933422,0.518302381,0.029688967,-0.206169352,0.999941111,0.52244091,0.030315571,-0.206203774,0.999939442,0.496181428,0.026122361,-0.206546903,0.999924779,0.488791257,0.02492276,-0.20663403,0.999905705,0.481851012,0.024362927,-0.206556931,0.999885857,0.524655521,0.040217455,-0.043915216,0.999830246,0.465856284,0.035927035,-0.05553424,0.999948263,0.511782944,0.08076679,-0.16650635,0.999962211,0.49200213,0.079000257,-0.167064518,0.999972641,0.562523901,0.17715919,0.02418063,0.999979079,0.409496844,0.170285299,0.032585233,0.999810755,0.585142791,0.338093579,-0.165097564,0.993291616,0.382529587,0.328319997,-0.166450977,0.941287577,0.55637598,0.245569155,-0.524460435,0.996099532,0.425534427,0.231470197,-0.544094026,0.845456243,0.548886776,0.220222384,-0.582243621,0.990434885,0.434047371,0.210298926,-0.613490999,0.801527739,0.546831191,0.199222505,-0.571638465,0.989515066,0.43522808,0.187107384,-0.591300786,0.801202357,0.544905305,0.203247592,-0.523093522,0.983828425,0.435454756,0.191716135,-0.542645633,0.797539234,0.513635576,0.478702128,-0.003169534,0.999963403,0.4195894,0.462929696,0.002982947,0.999803007,0.482257694,0.717391133,-0.07301569,0.987010479,0.410958141,0.696290493,-0.114439368,0.978648484,0.478831172,0.895635486,0.253519714,0.983272731,0.463111818,0.699565589,0.536290824,0.552172482,0.47185272,0.916350603,0.278114706,0.8318519,0.476227671,0.679684043,0.603856802,0.385011792,0.474134892,0.96980834,0.137417853,0.967885017,0.478820503,0.789758265,0.584166884,0.608537674
sab00,0.507258058,0.056991003,-0.255722463,0.999971926,0.514616191,0.033384085,-0.219444156,0.999937594,0.519210398,0.034014821,-0.219522148,0.999944448,0.523483694,0.034809913,-0.219520465,0.999942839,0.497603059,0.029797435,-0.220010638,0.999928534,0.490389019,0.028389947,-0.220086917,0.999910414,0.483478278,0.027538152,-0.220049247,0.999892294,0.525631309,0.043126967,-0.048269406,0.999841988,0.467304379,0.037735093,-0.05587798,0.999946713,0.512944818,0.083043993,-0.183493853,0.999965072,0.493223488,0.079354666,-0.184327781,0.999973536,0.563067496,0.179252833,0.015917467,0.999980032,0.410054952,0.17007865,0.025071129,0.999810159,0.585583627,0.338081956,-0.173816651,0.99311763,0.382779777,0.328370094,-0.182506636,0.944708586,0.559759617,0.243574068,-0.53464216,0.996241212,0.425276399,0.235343039,-0.551180303,0.859430969,0.553826988,0.217235193,-0.59082526,0.990834892,0.433057159,0.213839561,-0.617891252,0.818282604,0.552401364,0.196709514,-0.57937187,0.989956141,0.435337096,0.191526413,-0.595863581,0.817584932,0.550183415,0.201622829,-0.533125639,0.984421968,0.435582101,0.196947455,-0.549277842,0.812865198,0.514116466,0.481601685,-0.00085563,0.999962509,0.422076344,0.466222495,0.000712972,0.999794722,0.484270424,0.718226135,-0.057728525,0.987692773,0.415534258,0.694557667,-0.105225369,0.979162395,0.478314161,0.897049189,0.255806625,0.983506083,0.462560445,0.698160231,0.532557726,0.544869483,0.471505314,0.917204738,0.28213802,0.827620685,0.47384271,0.678800344,0.598513842,0.374641448,0.473904073,0.969156444,0.146166295,0.968428791,0.474214941,0.784701645,0.585627377,0.60304755
sab00,0.507580519,0.05479585,-0.265153319,0.999973357,0.514918029,0.032389801,-0.23096858,0.999941766,0.519346178,0.033070087,-0.231039956,0.999947906,0.523828745,0.033933014,-0.231029212,0.999946296,0.498045623,0.029071728,-0.22986269,0.999932587,0.490696996,0.028002687,-0.229920179,0.99991554,0.483661205,0.027511779,-0.229884654,0.99989897,0.526310205,0.042369477,-0.059469841,0.999853611,0.467854023,0.037706625,-0.062173862,0.999946713,0.513235211,0.081805944,-0.197929546,0.999967813,0.493578851,0.078286096,-0.196587339,0.999974728,0.563390136,0.181401446,0.002017438,0.999981105,0.411136925,0.170760751,0.020657247,0.999813795,0.586109698,0.339085102,-0.184028238,0.993073344,0.381792367,0.328054279,-0.17767334,0.948204637,0.561806619,0.241868719,-0.548935831,0.996414661,0.424643487,0.23687543,-0.551240444,0.872356117,0.556492269,0.216151789,-0.605931759,0.991285741,0.432126641,0.216198042,-0.619475543,0.83396405,0.555093646,0.196201056,-0.593511343,0.990451813,0.435028046,0.193606675,-0.596961439,0.8330006,0.552748263,0.201213509,-0.547171295,0.985103428,0.435314476,0.198767036,-0.549344361,0.82754159,0.514276981,0.483900428,0.000393771,0.999962986,0.423574537,0.468727857,-0.000551262,0.999794602,0.483814031,0.720533252,-0.04825557,0.988292813,0.416637808,0.697664559,-0.103000671,0.97974658,0.478743762,0.897329092,0.294910848,0.98371762,0.461826056,0.693340123,0.554917037,0.535823882,0.472012967,0.916982234,0.324516982,0.822803497,0.47196129,0.668072462,0.623622298,0.364084512,0.473857671,0.968574345,0.190615833,0.968962014,0.47179395,0.778142452,0.616745412,0.597277462
sab00,0.50807929,0.053980496,-0.30214408,0.999974728,0.515269518,0.031644631,-0.270190328,0.999945939,0.519616544,0.032173522,-0.270270467,0.999951422,0.524196804,0.032930192,-0.270305395,0.999949813,0.498610318,0.028745139,-0.271077335,0.9999367,0.491336375,0.027711188,-0.271111488,0.999920666,0.484311193,0.027311688,-0.271091968,0.999905646,0.526413739,0.041386768,-0.093230702,0.999865115,0.468101144,0.037730835,-0.099473007,0.999947429,0.513736129,0.081029505,-0.235370293,0.999970436,0.494118065,0.078410685,-0.237122476,0.999976039,0.563527942,0.182642773,-0.02472919,0.99998188,0.41140601,0.169384763,0.000346208,0.999815047,0.584472895,0.342212647,-0.227331474,0.992847025,0.382035226,0.326892972,-0.204989985,0.951223254,0.562880039,0.243418217,-0.608936548,0.996491313,0.424376756,0.233414248,-0.590521455,0.884071469,0.558252573,0.217302859,-0.668865144,0.991555989,0.431427211,0.212338805,-0.660728514,0.848259747,0.556562006,0.196659267,-0.657763898,0.990753293,0.434507936,0.190329909,-0.636208117,0.847125888,0.554485977,0.201807782,-0.608590364,0.98550117,0.435034066,0.195169955,-0.58818835,0.841049969,0.514649212,0.48511678,-0.004061067,0.999961436,0.423954844,0.47007674,0.003833851,0.999785602,0.484095246,0.720888615,-0.061664414,0.988797307,0.416159838,0.698748231,-0.06526532,0.979487956,0.479248047,0.898088217,0.277478993,0.983345449,0.465232909,0.718794882,0.572358191,0.528758466,0.472063422,0.91773057,0.304626107,0.813624144,0.476242363,0.70159018,0.637348771,0.355231762,0.473293573,0.969086707,0.167233437,0.968280375,0.479409367,0.799871206,0.602535725,0.591418266
sab00,0.508418679,0.054803602,-0.331724703,0.999976099,0.515592873,0.031938218,-0.301530242,0.999949992,0.519975305,0.032948319,-0.30160147,0.999954939,0.524461389,0.034063317,-0.30164668,0.99995333,0.499004692,0.027764756,-0.300935328,0.999940753,0.491777003,0.02641451,-0.300963908,0.999925733,0.484739572,0.025817035,-0.30093804,0.999912083,0.527405381,0.043183543,-0.125213176,0.999875724,0.468649715,0.03649335,-0.124964289,0.999948382,0.514115214,0.081809066,-0.26574561,0.99997282,0.494443625,0.078140236,-0.265795946,0.999977231,0.566017509,0.183453456,-0.043805081,0.999982536,0.412663728,0.167919338,-0.016821353,0.999814987,0.582671523,0.350173056,-0.244193539,0.992588282,0.380332887,0.325836509,-0.211109251,0.953986526,0.567599356,0.24526614,-0.627397418,0.996597648,0.422556251,0.226060733,-0.609740853,0.894551098,0.567508936,0.217245176,-0.687712431,0.991880476,0.429667264,0.205509767,-0.68172735,0.860984266,0.567743659,0.197340041,-0.680709481,0.991119385,0.432349086,0.186461598,-0.659160018,0.859665811,0.564733624,0.202345476,-0.629024327,0.985998988,0.43303588,0.191480055,-0.608659089,0.852983952,0.514868975,0.485328615,-0.00412961,0.999960959,0.424428761,0.470894217,0.003910154,0.999776125,0.484051287,0.720839739,-0.05302608,0.98910743,0.417443454,0.698656678,-0.062417936,0.979301691,0.479143888,0.899136543,0.276521772,0.983071804,0.464813948,0.699206948,0.586514056,0.515251219,0.472337425,0.919540048,0.303482383,0.806117952,0.474563092,0.674848378,0.653701901,0.345968664,0.473699987,0.96937722,0.162343279,0.967962563,0.476888359,0.776522636,0.638411641,0.581098855
