class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
sab2,0.551116049,0.121736817,-0.334969997,0.999974132,0.561537862,0.102205165,-0.312399685,0.999909937,0.567176402,0.102428734,-0.312453777,0.999895096,0.572638214,0.102926999,-0.312532574,0.999873519,0.544951975,0.102223858,-0.307487488,0.999931395,0.539147973,0.10198608,-0.307385117,0.999932826,0.533910871,0.101849623,-0.307352453,0.99993515,0.581287682,0.113947831,-0.150268257,0.999836981,0.528533638,0.10982471,-0.128894329,0.999861121,0.561418712,0.142592758,-0.272148848,0.999955833,0.541373789,0.142366573,-0.2658768,0.999965191,0.62455219,0.225215301,-0.047459703,0.999874413,0.483511925,0.218667299,0.014910266,0.999916732,0.685302079,0.343157947,-0.206318647,0.985807896,0.444803417,0.347254187,0.158655956,0.98694396,0.629745603,0.248881891,-0.528930426,0.961165488,0.43696183,0.460298896,0.062855564,0.976669788,0.616969407,0.22646898,-0.591265738,0.919548213,0.430388123,0.494514018,0.041617364,0.951390207,0.615193367,0.215887278,-0.57473588,0.918279469,0.439966559,0.49471274,-0.001244605,0.950601995,0.620845377,0.224216342,-0.527751982,0.9079777,0.444484055,0.483469605,0.045753367,0.938227654,0.584094286,0.519137681,0.002915173,0.999694943,0.49970305,0.512930453,-0.002894487,0.999818444,0.567947149,0.719245434,0.042884778,0.989198804,0.494964808,0.702339709,-0.075470537,0.993641496,0.559761345,0.915278256,0.281652391,0.924370408,0.483371705,0.599718273,0.478072017,0.865874231,0.551541567,0.937353432,0.302086949,0.838018656,0.488973856,0.559977353,0.539562285,0.803186595,0.562344134,0.974709213,0.173462972,0.927953601,0.482889831,0.646020234,0.573310077,0.880355895
sab2,0.552030563,0.124104962,-0.343552917,0.999976039,0.561736286,0.104291648,-0.320323616,0.99991715,0.567152143,0.104620613,-0.320377022,0.999903917,0.572846532,0.105168127,-0.320442617,0.999884427,0.546912313,0.103576533,-0.314855605,0.999936044,0.541603684,0.1031975,-0.314758927,0.999937057,0.536229432,0.102977887,-0.314741343,0.999938846,0.58468169,0.116032459,-0.161301568,0.999849319,0.530169845,0.111071236,-0.137796998,0.999873638,0.560600877,0.145268008,-0.283166021,0.999959886,0.543814778,0.143929064,-0.276232481,0.999968171,0.626870215,0.226560324,-0.062123023,0.999886572,0.487626493,0.219138473,-0.004720081,0.999924302,0.691126406,0.341620862,-0.249181807,0.987084329,0.447156906,0.346166939,0.129961655,0.987195611,0.627955735,0.235517606,-0.580468297,0.96476084,0.439742893,0.462066889,0.048544262,0.975477338,0.609788358,0.211806372,-0.643067122,0.926408231,0.434472203,0.494987458,0.031190686,0.948385715,0.607350767,0.202781081,-0.622580409,0.925161779,0.443096638,0.494404674,-0.008189125,0.947487116,0.614615083,0.212109253,-0.578202546,0.914970994,0.447421759,0.483612776,0.033806399,0.935339868,0.589071572,0.519751191,0.006150872,0.999723792,0.503681183,0.508341968,-0.006180346,0.999825776,0.569407761,0.722577274,0.047727358,0.988940299,0.498197079,0.69848901,-0.094710097,0.993322015,0.557327867,0.919140816,0.270831138,0.930401623,0.485275686,0.59310323,0.461995721,0.807180345,0.549901366,0.940885484,0.289829761,0.841734469,0.490078449,0.557233274,0.521293521,0.745131791,0.559366763,0.975339055,0.16955018,0.93284148,0.479332834,0.636145175,0.544519246,0.830931365
sab2,0.547796071,0.125550032,-0.353438914,0.999977112,0.557699502,0.106034771,-0.330360234,0.999922276,0.563044131,0.106561825,-0.330415696,0.999910712,0.568353653,0.107322611,-0.330480248,0.999893188,0.541703522,0.104896843,-0.324314356,0.99993819,0.536289752,0.104523607,-0.324227452,0.999938428,0.531103313,0.104403131,-0.324215472,0.999939561,0.579610765,0.118039779,-0.172871083,0.999858201,0.524724782,0.112809703,-0.146190032,0.999883294,0.557765841,0.146538094,-0.293896705,0.999963284,0.538370907,0.145162165,-0.28613618,0.999970317,0.623806894,0.226915956,-0.078151159,0.999897301,0.485716522,0.219047844,-0.012696135,0.999930382,0.686626673,0.341233701,-0.282341272,0.988160133,0.447021246,0.342753798,0.128153041,0.986488402,0.624326527,0.242212266,-0.608944535,0.967798293,0.439779878,0.458771855,0.056513168,0.970420957,0.603412151,0.218964472,-0.669808269,0.932006896,0.435594857,0.492575526,0.040150169,0.939226806,0.601388931,0.209545001,-0.650133014,0.930739045,0.443624675,0.492448539,0.000288677,0.938222349,0.607566774,0.218212605,-0.606662393,0.920224667,0.447164387,0.481695324,0.04090913,0.926204324,0.590584457,0.520834446,0.005853686,0.999748528,0.506527185,0.508856893,-0.005862098,0.999825895,0.569419265,0.724942327,0.068338715,0.988438427,0.500305712,0.698840439,-0.090562895,0.992836058,0.555588365,0.918434203,0.28990829,0.935740232,0.496632636,0.583553791,0.44648385,0.755815208,0.548481405,0.939618528,0.309149772,0.844675243,0.502264977,0.548921287,0.503298581,0.693501532,0.555956066,0.973790646,0.183273941,0.937298,0.495587796,0.624759555,0.51829505,0.788797855
sab2,0.548267126,0.124249235,-0.35169968,0.99997741,0.557731569,0.10508889,-0.327547967,0.999925137,0.562840641,0.105623446,-0.327620089,0.999915302,0.567469656,0.106382079,-0.327691942,0.999899387,0.541073561,0.104144596,-0.321984023,0.999938011,0.53543371,0.103926361,-0.321904391,0.999937654,0.530084193,0.103991762,-0.321923286,0.999937892,0.577456534,0.117593102,-0.168081164,0.999862075,0.523582578,0.113378443,-0.143368751,0.999890506,0.558734655,0.145920798,-0.291630864,0.999965906,0.538288295,0.144661888,-0.284439415,0.999971688,0.625502169,0.22736007,-0.07928247,0.999906778,0.482608765,0.219314337,-0.018158568,0.999935567,0.686712384,0.340836197,-0.273349047,0.989062607,0.445246398,0.342867225,0.090572037,0.986257493,0.619425237,0.234883726,-0.609852731,0.970519364,0.439078778,0.463158369,-0.021342253,0.967536032,0.597463846,0.208945125,-0.673853397,0.937135875,0.434312373,0.493247062,-0.04676405,0.933563769,0.595467448,0.200227693,-0.656917393,0.935862839,0.442472994,0.493434191,-0.085629947,0.932434142,0.600215316,0.210300907,-0.609057665,0.925161123,0.446073741,0.484180242,-0.037483644,0.920300245,0.592792571,0.522971451,0.006305174,0.999771118,0.506890416,0.509372592,-0.006334782,0.999829471,0.571456134,0.726212263,0.066602468,0.987595558,0.503682494,0.69576174,-0.099647008,0.992290735,0.554583132,0.918793499,0.307642996,0.939655066,0.494739145,0.594544649,0.452973217,0.707710505,0.547443986,0.939194143,0.326909512,0.843532085,0.500146568,0.559920371,0.512368441,0.646172762,0.557932436,0.976991475,0.213724717,0.940307796,0.489027381,0.637372375,0.5339517,0.748005629
sab2,0.545265138,0.124747343,-0.350403756,0.999977708,0.554796398,0.105594136,-0.327896357,0.999927163,0.560411811,0.106001757,-0.327971548,0.999918938,0.565459728,0.10658931,-0.328031391,0.999904573,0.538141251,0.105118342,-0.319507271,0.999937236,0.532625794,0.105127305,-0.319426596,0.999935806,0.527389586,0.105320305,-0.319452822,0.999935389,0.576724112,0.117784649,-0.174413517,0.999864101,0.523133993,0.115186952,-0.137383997,0.999896228,0.55710727,0.146114022,-0.292616665,0.999968112,0.535912335,0.145274714,-0.281820595,0.999972761,0.625792742,0.228168547,-0.088540182,0.999915361,0.484048665,0.219389349,-0.000801091,0.999940693,0.686623871,0.340578228,-0.309431523,0.98988992,0.446691573,0.343194425,0.14061062,0.98552835,0.617043316,0.234451786,-0.651380658,0.973062038,0.439471483,0.462431014,0.059943125,0.965461135,0.595030785,0.209330246,-0.713151753,0.942139328,0.433669299,0.491599768,0.044599466,0.929841995,0.593193591,0.199889302,-0.69418633,0.940892398,0.441890866,0.491570055,0.006158146,0.928707182,0.597142518,0.21023041,-0.649229527,0.930143178,0.44577381,0.483234167,0.044878285,0.916533768,0.592803359,0.52678287,-0.000776588,0.999790728,0.507076383,0.509705484,0.000730295,0.999834239,0.571147859,0.732421637,0.053684469,0.986612082,0.503939092,0.694467366,-0.156344473,0.991914392,0.554026127,0.916762233,0.286106348,0.943125308,0.505062163,0.619706213,0.426592946,0.667569816,0.546970606,0.938219845,0.307323962,0.841779232,0.510570347,0.58979845,0.468054682,0.606091261,0.55762887,0.976627886,0.190856442,0.943010271,0.503718853,0.665313303,0.457376659,0.716095626
sab2,0.545640409,0.127836928,-0.360651523,0.999978721,0.554378033,0.108258255,-0.337465167,0.999931157,0.559985757,0.108339153,-0.337518066,0.999924123,0.564985573,0.108669668,-0.337567776,0.999911189,0.537580848,0.108381003,-0.330441475,0.999939203,0.531940401,0.108381428,-0.330364466,0.999937117,0.52652365,0.108642578,-0.330378264,0.999936283,0.574834824,0.118840396,-0.179349318,0.999870896,0.520948589,0.11870154,-0.145562366,0.999903142,0.557311594,0.148195893,-0.30073899,0.999970555,0.536054671,0.148537576,-0.291365772,0.999974191,0.624580264,0.228491515,-0.090080857,0.999923348,0.483027548,0.219477832,-0.002647028,0.999945343,0.686691761,0.339998692,-0.291140199,0.990688264,0.44661212,0.3421143,0.143502921,0.985489845,0.615516424,0.234016165,-0.635015428,0.975408316,0.438681096,0.462306708,0.057389509,0.96463716,0.593381166,0.208386913,-0.698578775,0.946737766,0.433135301,0.49322325,0.039091732,0.927738607,0.590634942,0.200930521,-0.682331979,0.945527375,0.441464901,0.494836152,-0.001585623,0.926620364,0.594242096,0.210986942,-0.634163558,0.934837699,0.445361316,0.485065162,0.041316327,0.914518654,0.594058394,0.526323974,-0.001581061,0.999808908,0.509522617,0.509995282,0.001526614,0.999837518,0.571091175,0.730206609,0.053419866,0.98639679,0.506674945,0.694957137,-0.109588519,0.991584837,0.55417794,0.914742231,0.282928705,0.946856499,0.506600559,0.611919105,0.456524044,0.628945529,0.547004819,0.934412181,0.303443611,0.841037691,0.512971878,0.579394221,0.514796257,0.568565786,0.557789207,0.977137387,0.179650903,0.94608891,0.505461574,0.658379495,0.53321588,0.684242487
sab2,0.544849575,0.127178386,-0.360122055,0.999979973,0.553598046,0.1078422,-0.336594731,0.999935925,0.559166133,0.107973628,-0.336637676,0.999929845,0.56431514,0.108334802,-0.336702466,0.999918222,0.536942363,0.108053438,-0.329937845,0.999942303,0.531343937,0.108131193,-0.329839945,0.99993974,0.526006401,0.108400024,-0.329835713,0.999938548,0.573556423,0.118628696,-0.174705014,0.999879479,0.520360291,0.118453056,-0.14396745,0.999910474,0.556414604,0.147692993,-0.298413366,0.999972999,0.534958839,0.14797619,-0.289592385,0.99997586,0.6229164,0.228727505,-0.082333595,0.99993068,0.481679142,0.218287081,-0.000285537,0.999949694,0.685676277,0.339579374,-0.272341371,0.991439462,0.447155058,0.340482593,0.151102021,0.985476553,0.615291953,0.235245809,-0.614429712,0.977593243,0.439043313,0.459530473,0.069911472,0.963676691,0.594430268,0.210705474,-0.676540852,0.951084435,0.432848811,0.490079671,0.054025371,0.925447047,0.591133535,0.204553798,-0.659399927,0.949922919,0.441173941,0.491333187,0.010979719,0.92439121,0.594311595,0.213631585,-0.613240957,0.939469576,0.445172757,0.481841385,0.052975006,0.912537158,0.593114913,0.526111543,-0.001389444,0.999825537,0.509506464,0.510007858,0.001332075,0.999838889,0.571434915,0.731279373,0.050357811,0.986308098,0.506337464,0.695276797,-0.109845184,0.991261125,0.553752363,0.91621536,0.264392346,0.950502992,0.508268535,0.596275389,0.452730328,0.590845585,0.547083557,0.936231971,0.283336222,0.841720343,0.515241861,0.559696019,0.512302577,0.533933401,0.558724642,0.976368308,0.160642132,0.949170291,0.50755316,0.642935157,0.540626705,0.652579546
sab2,0.544058323,0.127422452,-0.375670135,0.999981344,0.5531317,0.108238466,-0.352122307,0.999940753,0.558799624,0.10840562,-0.35215798,0.999935508,0.564030588,0.108848467,-0.352255613,0.999925017,0.536317647,0.108536772,-0.344379336,0.999945939,0.530687451,0.108642437,-0.344246954,0.999943197,0.52536577,0.10889852,-0.344220966,0.999941647,0.572733462,0.118900746,-0.182575122,0.999888599,0.519646585,0.118620515,-0.150648698,0.999917984,0.555383861,0.148065954,-0.310548604,0.999975383,0.533676982,0.148682907,-0.299730688,0.999977708,0.621795893,0.229329482,-0.089368738,0.999937356,0.479812503,0.217270732,-0.010289424,0.999954045,0.684697092,0.339157194,-0.301078767,0.992120206,0.447361857,0.340086997,0.156658843,0.985477328,0.615327477,0.236892343,-0.666578054,0.979549229,0.439314336,0.459355563,0.094088823,0.962832153,0.595243156,0.212919414,-0.731073439,0.954976141,0.432746947,0.489911407,0.08208219,0.923234522,0.591621995,0.205988407,-0.712998927,0.95386225,0.441142619,0.490662336,0.037937995,0.922200024,0.594454944,0.214812458,-0.665298164,0.943575203,0.445267469,0.481342494,0.07759054,0.910450697,0.592805386,0.526059151,-0.001381961,0.999840915,0.50874716,0.509462774,0.001319094,0.99984467,0.571321487,0.731101811,0.046211861,0.986086369,0.505174279,0.695058227,-0.143565953,0.991072834,0.552700758,0.918482959,0.263350457,0.953484118,0.509594738,0.605869949,0.435341477,0.555803657,0.546691656,0.939228177,0.283100337,0.841556787,0.516844869,0.571216583,0.493893653,0.502369821,0.559038341,0.976951778,0.159539878,0.951576054,0.50923562,0.65504694,0.517786384,0.623194098
sab2,0.542772353,0.127384126,-0.371992081,0.999982774,0.551697791,0.108290374,-0.34700799,0.9999457,0.557337403,0.108473308,-0.347041368,0.999941051,0.562604845,0.108993813,-0.347125411,0.999931693,0.534949481,0.108756863,-0.33909297,0.999949813,0.529287815,0.108961321,-0.33895573,0.999946952,0.523912907,0.1092733,-0.338918298,0.999945223,0.571617007,0.120083064,-0.178363025,0.999897718,0.518091857,0.119880252,-0.144858137,0.999924719,0.553829968,0.148367301,-0.307802379,0.999977589,0.53265512,0.148926184,-0.297418684,0.999979377,0.620511353,0.230172306,-0.089082576,0.999943376,0.478624284,0.217883199,0.002835437,0.999957442,0.683096409,0.339152813,-0.288293362,0.992771626,0.447822422,0.340178967,0.166087076,0.985045731,0.61515516,0.240520701,-0.640124202,0.981424272,0.439340889,0.459919304,0.086557567,0.961872876,0.595004797,0.218145639,-0.703746378,0.958857238,0.432577759,0.490771949,0.070386507,0.921319962,0.590936899,0.211196467,-0.68681097,0.957810938,0.440976411,0.492125154,0.026652003,0.92034471,0.593819439,0.219076067,-0.638716638,0.947976351,0.445116073,0.482489169,0.069228701,0.908726692,0.593026996,0.525827289,-0.002829768,0.999854863,0.508948803,0.510160565,0.002746214,0.999848485,0.571201146,0.73178488,0.047007617,0.985739231,0.506955445,0.695355296,-0.14688617,0.990789771,0.551772475,0.919826984,0.268201739,0.956333339,0.519195616,0.607302606,0.428247392,0.525848925,0.545383096,0.941287696,0.287836999,0.842272997,0.527096689,0.570599675,0.482909799,0.475792825,0.558345199,0.977014363,0.165170521,0.954060733,0.52413851,0.65842545,0.509084105,0.599860132
sab2,0.541746378,0.12849012,-0.372024983,0.999983907,0.55080241,0.109721005,-0.347128153,0.999949694,0.556488812,0.109938167,-0.347162694,0.9999457,0.561841905,0.110459886,-0.34724471,0.999937296,0.534105062,0.109928325,-0.340188801,0.999952793,0.528475583,0.11007864,-0.34006694,0.999949753,0.523202837,0.110350378,-0.340037405,0.999947786,0.570961595,0.121749975,-0.17746681,0.99990505,0.517219007,0.120734304,-0.149607673,0.999930739,0.552919805,0.149443299,-0.307356119,0.999979496,0.531664491,0.149653643,-0.29904896,0.999980807,0.619958222,0.2301265,-0.082457244,0.999948859,0.477428347,0.218723699,-0.007380863,0.99996084,0.681536496,0.338941693,-0.270594031,0.993332684,0.4468638,0.340534002,0.145609543,0.985229552,0.613582611,0.23992911,-0.619134426,0.983075678,0.439123601,0.462189913,0.067423984,0.961646736,0.594141245,0.217514127,-0.683697641,0.96221745,0.432452947,0.491413146,0.051534552,0.920621693,0.590003669,0.209439695,-0.668690085,0.961227894,0.440717548,0.493162394,0.005652029,0.919725835,0.592612147,0.217731073,-0.618979394,0.951730013,0.444962502,0.483864993,0.04970948,0.908397317,0.593438685,0.525157154,-0.000116265,0.999867618,0.509327471,0.510227203,3.71E-05,0.999853373,0.571141183,0.731262088,0.045356985,0.985628545,0.507263541,0.695653498,-0.137938291,0.990506887,0.550738037,0.919425547,0.260115415,0.959005594,0.515956104,0.599007547,0.438907415,0.497491151,0.543921292,0.94013381,0.279404789,0.844974518,0.523379505,0.560987115,0.499906987,0.451070905,0.558567941,0.975843728,0.160791233,0.956445873,0.515846014,0.648810267,0.535990298,0.576804996
