class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
normal,0.479438424,0.634249389,-0.856225371,0.999938309,0.507152677,0.572483897,-0.81039232,0.999854207,0.525946915,0.570921779,-0.81011641,0.999888718,0.542035639,0.570635498,-0.810264766,0.999858856,0.458575308,0.579620719,-0.809820533,0.999847353,0.442076564,0.582567215,-0.808997273,0.999861598,0.425489724,0.586210608,-0.809331119,0.999805868,0.568625331,0.590445638,-0.465572059,0.999856174,0.413169354,0.60562861,-0.429885685,0.99989593,0.511752307,0.692678392,-0.729197979,0.999914348,0.453696787,0.701256454,-0.723406732,0.99990952,0.704658389,0.894198954,-0.239218801,0.999583125,0.281074941,0.890006423,-0.287619442,0.99758023,0.791105092,1.234332085,-0.058884062,0.902377367,0.190465808,1.242542624,-0.139441237,0.317085862,0.793695509,1.503790617,-0.201660261,0.899350345,0.176353976,1.545427799,-0.401723444,0.177995741,0.796042085,1.589645863,-0.256544918,0.891606808,0.146297038,1.64404726,-0.491683155,0.195570722,0.764176011,1.59717679,-0.329419047,0.895363092,0.179786772,1.651583552,-0.571290016,0.289930224,0.75014782,1.560315847,-0.247577578,0.892324269,0.198740646,1.613085747,-0.448356599,0.293516546,0.623677194,1.600116491,-0.045377143,0.009758463,0.341453493,1.588947415,0.049688131,0.003753526,0.608143449,2.190526009,-0.101494305,0.002552018,0.341163576,2.173331976,-0.011357056,0.000636269,0.606991529,2.736476421,0.426235914,0.000137011,0.346694946,2.717952251,0.342663437,7.37E-06,0.615472496,2.819912434,0.449101061,0.000196449,0.342309535,2.803962231,0.339270353,6.61E-05,0.557275832,2.898481131,-0.110712104,0.00016093,0.38362205,2.869231462,-0.328964472,5.68E-05
normal,0.494816184,0.635564744,-0.768950045,0.999925196,0.521224439,0.575402498,-0.726531208,0.999822676,0.538419366,0.574432015,-0.726275206,0.999860525,0.555478334,0.574588537,-0.726504564,0.999823332,0.473335683,0.580735445,-0.726904392,0.999823153,0.455960363,0.583319366,-0.726171255,0.99984467,0.438092321,0.58659178,-0.726503253,0.999790967,0.580719292,0.595691025,-0.415722489,0.999800563,0.424545288,0.605652809,-0.402884841,0.999879301,0.52515173,0.695057988,-0.651676893,0.999894619,0.468117565,0.703012168,-0.647150695,0.999898672,0.71430552,0.910437524,-0.208735257,0.999394,0.284227818,0.891431093,-0.2913737,0.997777462,0.780851662,1.270551801,-0.104274198,0.823820949,0.189785466,1.239955902,-0.261031896,0.315721214,0.795832455,1.547495484,-0.30226478,0.812448859,0.174878225,1.536806703,-0.632426858,0.171481073,0.822617292,1.637093782,-0.371746063,0.807045758,0.13873747,1.632889986,-0.73448056,0.188603729,0.788120389,1.642405033,-0.436383903,0.813068867,0.178783849,1.63988924,-0.809097171,0.278873652,0.766236782,1.605603576,-0.346207082,0.81036514,0.198735967,1.602102637,-0.679781675,0.281520247,0.623685122,1.600556135,-0.036044814,0.008907341,0.340349793,1.589707971,0.040107507,0.003531717,0.604463816,2.191588163,0.008551784,0.002335798,0.339932501,2.175274372,0.010494304,0.000590912,0.605293155,2.736891508,0.59331876,0.000136481,0.346142828,2.718500853,0.421144933,7.75E-06,0.611201286,2.82096839,0.622022569,0.00019118,0.341852158,2.804299593,0.44222489,6.24E-05,0.560458422,2.899169207,0.095723405,0.00015797,0.382837653,2.871498346,-0.173251182,5.71E-05
normal,0.501387358,0.635724127,-0.963206828,0.999883592,0.527413726,0.576329589,-0.907685041,0.999726593,0.542005062,0.575552046,-0.90790683,0.999785423,0.55990082,0.576025069,-0.908456087,0.999712169,0.479158789,0.580938399,-0.91479528,0.999732077,0.460647762,0.583424628,-0.914173841,0.999782741,0.442770034,0.586638153,-0.914684772,0.999718368,0.584323466,0.597948372,-0.507852435,0.999677598,0.427592576,0.605714262,-0.520589054,0.999830008,0.530947566,0.695427239,-0.809060037,0.999851346,0.473791718,0.703219175,-0.813376546,0.999868572,0.717424095,0.912643254,-0.221233681,0.999102473,0.288133502,0.891403139,-0.346190602,0.997908592,0.772545874,1.250908375,-0.093380488,0.752442718,0.186898455,1.234562039,-0.24263005,0.335377604,0.79654783,1.527735353,-0.434830695,0.73354876,0.172023535,1.525182486,-0.628600478,0.166347221,0.827237606,1.62102139,-0.532185793,0.729490638,0.13699308,1.619994402,-0.753239453,0.180593148,0.793849647,1.628972769,-0.625271797,0.736922443,0.177758217,1.629091859,-0.850525439,0.267507136,0.771061122,1.589083672,-0.495098382,0.734422863,0.197402745,1.590813041,-0.684559345,0.26881665,0.621514082,1.597552538,-0.037897598,0.00817039,0.340361565,1.584071875,0.042145461,0.003344052,0.600878358,2.181408405,-0.050675631,0.002224367,0.339264393,2.16611743,0.011445935,0.00058965,0.603951871,2.724306107,0.538211882,0.000153728,0.347207785,2.710575581,0.411315769,1.11E-05,0.609231055,2.809762955,0.564980686,0.000202598,0.343621075,2.797762394,0.429488748,6.94E-05,0.560338438,2.883993864,-0.032164078,0.000167679,0.383410543,2.861224413,-0.228655621,6.81E-05
normal,0.501359344,0.636784554,-1.016348481,0.999846756,0.528716147,0.577449501,-0.957885563,0.99963212,0.54243052,0.576671839,-0.958124399,0.999713719,0.559637785,0.577204704,-0.958501935,0.999597549,0.479328841,0.581579328,-0.965453327,0.999648333,0.460650325,0.583844066,-0.96484673,0.99973017,0.444340527,0.586930692,-0.965397358,0.999654233,0.585684597,0.599587321,-0.53885144,0.999551535,0.430013299,0.605938196,-0.55724895,0.999786258,0.532730401,0.696753919,-0.855275214,0.999802828,0.474556625,0.704110026,-0.860791028,0.999837816,0.719674945,0.919957876,-0.216939598,0.998684347,0.291930884,0.892042041,-0.360257298,0.998007119,0.774219871,1.25574708,-0.066557094,0.685482085,0.180658981,1.234756947,-0.253421962,0.347416282,0.795549214,1.530161858,-0.418389708,0.66231215,0.170320645,1.527804017,-0.654858828,0.16130434,0.825655639,1.624377966,-0.511880755,0.659560025,0.136752933,1.62577951,-0.781771302,0.173883393,0.793298542,1.629289031,-0.608755469,0.668197334,0.177764326,1.634517789,-0.876826704,0.25814113,0.771051466,1.588712931,-0.479799241,0.665868819,0.197376505,1.594923019,-0.709753573,0.257874697,0.621044874,1.600725174,-0.036934696,0.007442148,0.339846641,1.584779859,0.041471519,0.00310069,0.599307597,2.185798883,-0.109549098,0.002110823,0.336522907,2.169516087,-0.018835876,0.000578865,0.602390885,2.73068881,0.435086012,0.000160289,0.346318394,2.715047359,0.356323302,1.32E-05,0.606984854,2.816123724,0.45598489,0.000202892,0.342634052,2.801040888,0.370427042,7.18E-05,0.559653461,2.889825106,-0.15563795,0.00017614,0.382992089,2.867704153,-0.313059837,7.77E-05
normal,0.503074527,0.637071788,-0.999098837,0.999800324,0.530770481,0.577929676,-0.940184772,0.999522984,0.544435382,0.577290237,-0.940377951,0.999637067,0.560972452,0.577949882,-0.940752745,0.999478817,0.479447663,0.581841528,-0.946613014,0.99954319,0.460342109,0.584067643,-0.945983589,0.999665201,0.444644749,0.587110579,-0.946499705,0.999571264,0.587543845,0.601318121,-0.528981268,0.999422491,0.429127991,0.606374025,-0.543947279,0.999729156,0.535358429,0.697378576,-0.842249095,0.999745905,0.475586116,0.704930305,-0.846429706,0.99979794,0.719836473,0.919029236,-0.217194155,0.998338938,0.292611897,0.892773509,-0.34994936,0.998071671,0.768698871,1.25954473,-0.119666159,0.624586642,0.174204186,1.234587669,-0.264554232,0.352493078,0.791766703,1.537112474,-0.493145585,0.597882807,0.164371729,1.526898384,-0.676365495,0.152640432,0.823600888,1.630811572,-0.591862142,0.596142769,0.132131219,1.624494076,-0.804026127,0.163901791,0.791317344,1.638915658,-0.683939695,0.605574906,0.174615607,1.634071231,-0.894252837,0.243975699,0.770692348,1.598736405,-0.553298593,0.603393972,0.193604752,1.594413638,-0.72998029,0.242805526,0.617565334,1.598939538,-0.036017515,0.006803874,0.336856157,1.581778288,0.040608402,0.002895807,0.593047321,2.180205584,-0.123144314,0.002005547,0.329418689,2.163219929,-0.026409727,0.000569147,0.593783438,2.722552061,0.409227759,0.00016788,0.336722702,2.707333088,0.319831014,1.53E-05,0.597763062,2.809265614,0.429461092,0.000204664,0.33209461,2.795428038,0.33098489,7.40E-05,0.549562812,2.880861759,-0.17767188,0.00018311,0.372918695,2.85824275,-0.342609316,8.56E-05
normal,0.504394174,0.638603151,-1.031562209,0.999766588,0.531865537,0.579191446,-0.971798718,0.999433577,0.54563868,0.578546703,-0.972044885,0.999568105,0.561466992,0.579162121,-0.972446322,0.999372244,0.479650915,0.582827628,-0.981016695,0.999461532,0.460559547,0.584927142,-0.980370879,0.999611139,0.445326716,0.587848902,-0.980891705,0.999504447,0.588294208,0.60259825,-0.549332142,0.999306321,0.428736866,0.60728395,-0.575328529,0.999685049,0.536562562,0.699047089,-0.869351745,0.999704421,0.476084679,0.706968546,-0.8767699,0.999769807,0.721286714,0.921808004,-0.218903586,0.998057544,0.292328328,0.893830299,-0.375965178,0.998141766,0.770256639,1.255121231,-0.044131324,0.571599126,0.171493828,1.233901858,-0.272812605,0.364912301,0.791615069,1.536702514,-0.35489586,0.540624917,0.162311956,1.526727915,-0.667524517,0.149609789,0.823164642,1.63293612,-0.443706661,0.53985256,0.130754828,1.625554204,-0.794496357,0.158717066,0.791391134,1.639656425,-0.541609287,0.550398111,0.173604831,1.634793401,-0.889818072,0.23640433,0.770428419,1.598980069,-0.415718049,0.548401892,0.192530587,1.594580412,-0.722387493,0.23401168,0.617473245,1.59899509,-0.036095761,0.00622846,0.336652696,1.582507133,0.040681105,0.00270769,0.593144417,2.181143284,-0.087810449,0.001910207,0.329416037,2.164670229,-0.010483429,0.000559515,0.593384266,2.722937107,0.504759371,0.000174946,0.337123275,2.708069563,0.390264034,1.75E-05,0.597072542,2.809893847,0.529913723,0.000204781,0.332529992,2.79632473,0.407318622,7.68E-05,0.549750566,2.880735159,-0.084917054,0.000191836,0.373028487,2.85887289,-0.272546321,9.66E-05
normal,0.503728688,0.640450895,-1.0090307,0.999752402,0.530944467,0.580455601,-0.950960934,0.999395669,0.545365036,0.579818785,-0.95113802,0.999543309,0.560480475,0.580548584,-0.951479077,0.999331236,0.478720933,0.583442211,-0.957129657,0.999422491,0.460334837,0.585352719,-0.956440508,0.999587893,0.445598871,0.588111579,-0.956929445,0.999472558,0.587294519,0.60362184,-0.540418148,0.999263585,0.429013014,0.607734025,-0.552843213,0.99966377,0.536576092,0.700113237,-0.852248371,0.999687314,0.476157784,0.708296835,-0.855533242,0.999757051,0.724405766,0.925358415,-0.221865848,0.997938097,0.292191774,0.895816386,-0.362208098,0.998227954,0.772194088,1.263920784,-0.140014842,0.522907197,0.171997294,1.235121369,-0.265589565,0.365783989,0.790461123,1.54346025,-0.512033105,0.488754183,0.162200823,1.527911544,-0.680488527,0.142753229,0.822328508,1.64129746,-0.613794029,0.488886178,0.130243778,1.628074765,-0.809792161,0.151010439,0.790814817,1.648128033,-0.694848061,0.500464737,0.17357935,1.636395574,-0.904666066,0.225802258,0.769644737,1.605702758,-0.568127036,0.498561174,0.192540526,1.596566081,-0.736358821,0.222646877,0.61696291,1.599252939,-0.037907645,0.005683362,0.334324747,1.583044052,0.042556789,0.00251537,0.593164325,2.181167841,-0.055766743,0.001787962,0.327930629,2.164581537,0.026191933,0.00053111,0.593250751,2.720513344,0.546295166,0.000173523,0.336482495,2.704265594,0.44294095,1.78E-05,0.597192526,2.808209896,0.573906541,0.000200514,0.332156897,2.793277264,0.462721854,7.54E-05,0.549254119,2.878628254,-0.027385395,0.000189774,0.372938156,2.854597569,-0.200266093,9.81E-05
normal,0.503312647,0.640461624,-0.930973589,0.999744356,0.531186759,0.580441058,-0.876951456,0.999372423,0.545840621,0.579829931,-0.877004325,0.999523103,0.560401022,0.580637932,-0.877328753,0.9993065,0.478802741,0.583385646,-0.887779593,0.999406815,0.460690945,0.585241616,-0.887082934,0.999577403,0.445941001,0.587896347,-0.887548804,0.99946183,0.587438881,0.603915691,-0.498360872,0.999226749,0.428704709,0.607730925,-0.544882774,0.99965477,0.53625685,0.700342059,-0.786971748,0.999674261,0.475604236,0.708347619,-0.796474457,0.999750435,0.724141121,0.924401522,-0.203307062,0.997806609,0.29188478,0.896346271,-0.362126201,0.998315692,0.767863333,1.270029545,-0.059122585,0.478909492,0.170436949,1.234829068,-0.349971116,0.361710519,0.786545575,1.543634534,-0.305742413,0.442399919,0.162137747,1.526604772,-0.804134727,0.138095662,0.820869803,1.636509538,-0.382231832,0.443721801,0.129643962,1.626538038,-0.931858361,0.146374732,0.790592134,1.640265107,-0.466575176,0.456394583,0.173668042,1.633787036,-1.007513404,0.218487859,0.768427134,1.602505803,-0.358820409,0.454700023,0.192948684,1.59393549,-0.852947772,0.214818716,0.61731267,1.599378943,-0.030649649,0.005200377,0.333550006,1.58316958,0.035159454,0.002354351,0.593555629,2.180737734,-0.012857107,0.00166269,0.32807073,2.165662527,0.025321506,0.000502154,0.592915475,2.720050573,0.593324363,0.000171316,0.335311502,2.703574181,0.436487108,1.78E-05,0.59610492,2.807058811,0.620689034,0.000193754,0.33067888,2.791262627,0.457748234,7.20E-05,0.550762773,2.878771305,0.047775146,0.000187724,0.372661561,2.854819775,-0.192945778,9.90E-05
normal,0.503641009,0.64070946,-1.026315451,0.999734759,0.531682432,0.580626667,-0.967417955,0.99933511,0.546326399,0.580109715,-0.967621028,0.999497056,0.560544848,0.580937386,-0.967983425,0.999264777,0.479198664,0.583396494,-0.9782269,0.999369919,0.461179644,0.585237384,-0.977543414,0.99955368,0.446484178,0.587787092,-0.978048027,0.999429166,0.587415338,0.604242563,-0.550545335,0.999177039,0.428268909,0.607736468,-0.58455795,0.999631882,0.536321998,0.700835049,-0.865811527,0.999664426,0.475456208,0.708657563,-0.875178874,0.999742627,0.724360228,0.924929976,-0.21843639,0.997783601,0.290437758,0.897769988,-0.385479003,0.998402536,0.770662248,1.26404357,-0.083140582,0.442056209,0.170729995,1.235463738,-0.273224711,0.37013185,0.784934103,1.546097994,-0.41854775,0.40139538,0.164911151,1.527332544,-0.662775993,0.135355338,0.820368707,1.644860983,-0.51544416,0.403355569,0.134866238,1.627544165,-0.785360813,0.1416765,0.788183689,1.649018645,-0.60277319,0.41720441,0.178336099,1.634827018,-0.880431175,0.211773843,0.765553892,1.606206894,-0.475672185,0.415590733,0.196551651,1.595315099,-0.716796756,0.207478002,0.617461741,1.600574613,-0.032280706,0.004781706,0.333285451,1.584841013,0.036816418,0.002221748,0.594055891,2.181525946,0.016898343,0.001550984,0.32834208,2.166419744,0.061487854,0.000477653,0.593030155,2.718572855,0.691668987,0.00016825,0.335510314,2.704321384,0.552342594,1.81E-05,0.596345663,2.805481434,0.725334585,0.000187788,0.330876321,2.792255163,0.580103517,7.12E-05,0.551109016,2.877559662,0.116123311,0.000186262,0.372927576,2.854474306,-0.09850768,0.00010277
normal,0.504073799,0.640321672,-1.029272795,0.99973315,0.531833112,0.58049351,-0.969775975,0.999327958,0.546385705,0.580071867,-0.96996206,0.999491751,0.560369313,0.580891728,-0.970311224,0.999257803,0.479172528,0.583116174,-0.980591357,0.999360323,0.46103707,0.584874034,-0.979858816,0.999546647,0.446275562,0.587185979,-0.980329871,0.999418676,0.587271094,0.604160786,-0.547187984,0.999167204,0.4276537,0.607674599,-0.577572048,0.999624789,0.53658241,0.700783372,-0.866535306,0.999664605,0.475626856,0.708551943,-0.875378549,0.999741018,0.724399388,0.92357713,-0.220944226,0.997803152,0.289798975,0.89895308,-0.391353607,0.998481095,0.767603695,1.262622952,-0.102785394,0.408618003,0.171931028,1.237363458,-0.314009607,0.376169115,0.782657027,1.540603161,-0.467959583,0.364844203,0.164999112,1.530605078,-0.767352581,0.13494806,0.820522308,1.641320109,-0.569822013,0.367758453,0.134659544,1.631282568,-0.908837497,0.140055254,0.786288857,1.641344309,-0.65677923,0.383173972,0.178321019,1.639635086,-1.003393173,0.209280223,0.763155699,1.600655675,-0.526251137,0.381584525,0.196817622,1.59878695,-0.82368052,0.204219803,0.619203508,1.600545049,-0.033067793,0.004410083,0.333442867,1.585069776,0.037643515,0.002107269,0.598897457,2.179740667,0.04020638,0.001445457,0.332495093,2.166849852,0.075636446,0.000452021,0.598090947,2.713124752,0.726038158,0.000164168,0.339955419,2.702080965,0.576694548,1.81E-05,0.600678086,2.799176931,0.760692596,0.000180496,0.336139381,2.789738655,0.605959892,6.89E-05,0.558861375,2.87319088,0.154027134,0.00018214,0.378173918,2.852048635,-0.074720427,0.000103899
