class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
normal,0.518845379,0.678180397,-1.040141106,0.999895513,0.549833775,0.617389858,-0.987891376,0.999721467,0.570154727,0.61760354,-0.988165915,0.999797523,0.587785363,0.617422342,-0.988505304,0.999661922,0.492207378,0.613766074,-0.986711442,0.999744892,0.47503224,0.612169325,-0.985802531,0.999829233,0.460758448,0.611437738,-0.986185312,0.9997738,0.618110955,0.635829568,-0.575853467,0.999725401,0.444467336,0.633969426,-0.542279661,0.999879837,0.558725834,0.744097054,-0.877015948,0.999876797,0.483814001,0.744507492,-0.867456079,0.99990803,0.768417776,0.941937864,-0.234345004,0.997569799,0.288294882,0.927866936,-0.325853646,0.999380887,0.878962517,1.289883733,-0.184050053,0.059969313,0.178273201,1.296628952,-0.217270896,0.412730604,0.854006529,1.578568578,-0.590275347,0.0132816,0.196198583,1.617375135,-0.666625023,0.075551338,0.873859465,1.685734034,-0.691661775,0.016656615,0.175862536,1.732341051,-0.795853257,0.07039243,0.826855421,1.684673071,-0.758115649,0.030274995,0.227328911,1.735081196,-0.886794329,0.118515611,0.808664262,1.638647676,-0.638826311,0.031033996,0.242561027,1.688010335,-0.718642056,0.109455936,0.675332487,1.654966235,-0.068527602,0.000357358,0.371871442,1.646077991,0.074283175,0.000363632,0.672079861,2.229004145,-0.181258127,0.000491446,0.38683337,2.225912094,0.105419375,0.000243652,0.68210721,2.751006842,0.387005746,9.18E-05,0.410225958,2.748089314,0.47019437,1.47E-05,0.692079723,2.844162226,0.408285707,8.41E-05,0.40751642,2.840055227,0.486671031,4.72E-05,0.630664647,2.919817448,-0.2467397,0.000106751,0.457065821,2.913747072,-0.19183138,0.00010211
normal,0.512563348,0.680271268,-1.096132755,0.999888122,0.545177162,0.619034469,-1.044870496,0.999706089,0.565659702,0.619320571,-1.045209885,0.999781907,0.584296048,0.619411647,-1.045583487,0.999637008,0.486845374,0.615714014,-1.042614579,0.999735057,0.470239162,0.614191294,-1.041814566,0.999822021,0.455899894,0.613657892,-1.042281032,0.999767244,0.614511728,0.638545096,-0.619131267,0.999706447,0.440071046,0.636494875,-0.581817806,0.999875486,0.552831173,0.747974396,-0.926353276,0.999869227,0.477824301,0.748695791,-0.916551948,0.999904692,0.763105154,0.942278981,-0.267032623,0.997356772,0.281292409,0.928930342,-0.350122422,0.999355495,0.879072547,1.286633492,-0.225199908,0.059575364,0.178726867,1.311465621,-0.266643375,0.413050652,0.855459452,1.577250719,-0.650377154,0.012683776,0.193210647,1.633691788,-0.7681126,0.074164197,0.876632333,1.684971571,-0.764208794,0.015945897,0.171899378,1.747853756,-0.909581959,0.069420256,0.82900542,1.683862925,-0.833744407,0.02900338,0.222938731,1.748486638,-1.012214065,0.117059469,0.810542524,1.638177276,-0.701458335,0.029712891,0.239595383,1.701894164,-0.826376736,0.107822888,0.674737275,1.656874299,-0.071145885,0.000352074,0.371236175,1.652236938,0.076903149,0.000357906,0.672124147,2.230940104,-0.176612228,0.000535408,0.386909276,2.231675863,0.110551879,0.00026139,0.6832425,2.754047871,0.396615326,9.58E-05,0.41114673,2.753421307,0.484433562,1.60E-05,0.693870962,2.846728563,0.417803377,8.62E-05,0.408177465,2.844961166,0.501541197,5.10E-05,0.631390989,2.923441172,-0.238482699,0.000109324,0.460135132,2.920256853,-0.170975089,0.000106193
normal,0.511040092,0.68292433,-1.173062086,0.999873281,0.544042528,0.622020483,-1.122401118,0.999677002,0.564744771,0.62184006,-1.122785211,0.999752879,0.583147943,0.621755362,-1.123085499,0.999593675,0.484287828,0.619983137,-1.122285724,0.999713063,0.467051744,0.618917942,-1.121556878,0.999804616,0.45277518,0.618530393,-1.122067571,0.999750078,0.612531185,0.640111864,-0.68236059,0.999670386,0.436389923,0.639397025,-0.656856358,0.999864519,0.551374435,0.75017792,-0.996375918,0.99985373,0.475767314,0.751989126,-0.989962399,0.999897003,0.759951234,0.942413747,-0.308004886,0.996998191,0.281632572,0.929079711,-0.402223796,0.999284029,0.876632154,1.282956004,-0.25761202,0.059967998,0.177994549,1.315963626,-0.307777494,0.412573427,0.854467034,1.576161027,-0.700916588,0.012245621,0.185896575,1.637420177,-0.798166931,0.072796799,0.875243008,1.68405509,-0.819271028,0.015421843,0.164703026,1.751281261,-0.942071438,0.068479225,0.82896322,1.682330132,-0.897897482,0.028007224,0.212158859,1.7501266,-1.047713161,0.115478322,0.809868634,1.637478471,-0.756044984,0.028671594,0.230143011,1.704174519,-0.85787487,0.106169976,0.670704484,1.657870531,-0.071003139,0.000350743,0.367868811,1.654077172,0.076745726,0.000355428,0.667993665,2.231604576,-0.166239604,0.000601162,0.383076727,2.231835365,0.056254737,0.00029249,0.677670538,2.754960775,0.418901175,9.99E-05,0.405257344,2.754258871,0.426746309,1.84E-05,0.687348425,2.846785545,0.440741271,8.74E-05,0.401956379,2.845596552,0.442973256,5.60E-05,0.627492845,2.925405979,-0.21846807,0.000116008,0.454189271,2.920680761,-0.245943323,0.000116108
normal,0.508532107,0.685455322,-1.175399899,0.999856234,0.541642189,0.624126673,-1.132262468,0.999636948,0.562362611,0.623783052,-1.132632613,0.999720216,0.580912471,0.623571157,-1.13299489,0.99954021,0.481724679,0.621911407,-1.128520966,0.999682724,0.464542598,0.620839596,-1.127866387,0.999782681,0.450633317,0.620331168,-1.128436804,0.999726057,0.609901071,0.640982747,-0.711005688,0.999636352,0.435543537,0.640216708,-0.671279311,0.999852479,0.548762321,0.751784086,-1.002603292,0.999838412,0.473447204,0.75407666,-0.992210805,0.999890149,0.758351564,0.942402065,-0.330283552,0.996805608,0.282348633,0.927916944,-0.403279901,0.999250352,0.873774111,1.278634429,-0.26331979,0.064212337,0.177281231,1.31204915,-0.298974603,0.417021096,0.853260219,1.571346521,-0.689428091,0.011898649,0.181797057,1.632793903,-0.796015978,0.072726622,0.873211741,1.680083036,-0.8029598,0.014992439,0.160654142,1.746284604,-0.929850638,0.068466529,0.827948809,1.67593956,-0.883752763,0.027192192,0.206689596,1.74358654,-1.022873402,0.115221441,0.809230804,1.630841017,-0.743929446,0.027754558,0.224824384,1.698516846,-0.850132465,0.105734915,0.666431963,1.657841802,-0.067195944,0.000372872,0.366136849,1.653853893,0.072796389,0.000379492,0.662811995,2.231456757,-0.184088916,0.000821859,0.379023105,2.226334572,-0.043131672,0.00038295,0.674401879,2.754852295,0.327991426,0.000117079,0.40205577,2.751495838,0.256295472,2.62E-05,0.684001923,2.846435785,0.343196094,9.92E-05,0.399412453,2.84309268,0.264368922,7.02E-05,0.623308122,2.925239086,-0.304366708,0.000136836,0.450706095,2.916270971,-0.402355283,0.000138787
normal,0.507846117,0.686145246,-1.2303195,0.999844372,0.540482879,0.624727905,-1.181077957,0.999611497,0.561164737,0.624291837,-1.18143034,0.999695122,0.57963711,0.624035835,-1.181738853,0.999503195,0.480677128,0.622468293,-1.179368734,0.999663055,0.46338746,0.621363223,-1.178626299,0.999766946,0.449706823,0.620791852,-1.179146051,0.999711215,0.60785985,0.641380548,-0.741278648,0.99960196,0.433967322,0.640754342,-0.709370017,0.999842584,0.548020542,0.752235174,-1.052699804,0.999826372,0.472930044,0.754706979,-1.04480207,0.99988395,0.757557094,0.942990124,-0.36699456,0.996557415,0.280625045,0.928117812,-0.432312727,0.999210298,0.871312439,1.278463602,-0.295753777,0.064016789,0.175343856,1.313435793,-0.302977711,0.41738534,0.850208998,1.57168901,-0.722115457,0.011673269,0.182784751,1.632380366,-0.776044786,0.072252609,0.870554864,1.680591106,-0.83988893,0.014734806,0.161614031,1.745471001,-0.912950993,0.068189517,0.824757397,1.676530957,-0.918590069,0.026685547,0.208228528,1.742763758,-1.015398741,0.115023516,0.805622041,1.631536484,-0.776619256,0.027180882,0.226056442,1.697652221,-0.833300948,0.105264805,0.665318906,1.659850955,-0.069031656,0.000362773,0.363745838,1.65602684,0.074592605,0.000370357,0.661596239,2.235082626,-0.169289038,0.000842151,0.377150148,2.229491472,0.01099871,0.000390759,0.672949493,2.757653952,0.3624264,0.000119019,0.400416315,2.754258633,0.373522699,2.64E-05,0.682607293,2.84855628,0.382852197,9.95E-05,0.398063451,2.845388174,0.389166355,7.16E-05,0.621519208,2.927447796,-0.24201256,0.000138812,0.4490619,2.918881893,-0.284979999,0.000143455
normal,0.507182479,0.687689781,-1.141167283,0.999829233,0.539687872,0.626829505,-1.094380498,0.999575794,0.560296953,0.626452744,-1.094755054,0.999666691,0.578700721,0.626307011,-1.095121145,0.999452412,0.480359197,0.62391758,-1.097530246,0.999637127,0.4629426,0.622719407,-1.096959114,0.999750793,0.449528843,0.621950388,-1.097485542,0.999690652,0.607156157,0.642536104,-0.663069844,0.999566853,0.434064507,0.641480982,-0.65367645,0.999833405,0.54650408,0.754040837,-0.964882255,0.99981004,0.472053975,0.755970001,-0.962825775,0.999876261,0.754098415,0.942864001,-0.288683116,0.996440351,0.279766649,0.928271174,-0.396397024,0.999206483,0.870135903,1.274418116,-0.205407053,0.065647863,0.170998037,1.304593682,-0.283115417,0.424411416,0.85081327,1.565088511,-0.604735076,0.011364429,0.181813195,1.62228477,-0.742331207,0.071987443,0.871335626,1.672647119,-0.710061312,0.014314041,0.161281809,1.735199451,-0.877463758,0.067804746,0.825448394,1.669591665,-0.788597405,0.025872666,0.208717316,1.734358907,-0.973700464,0.114065856,0.80616045,1.6252352,-0.658305824,0.026338758,0.2258524,1.689001679,-0.796240926,0.104287095,0.661946535,1.658878922,-0.0679598,0.000376742,0.362877786,1.655858517,0.07342305,0.000387409,0.661935985,2.232055664,-0.16173774,0.000909063,0.377517283,2.228517771,0.028256657,0.00042946,0.673277676,2.755910397,0.394484341,0.000126711,0.404479802,2.753964186,0.381863505,2.99E-05,0.682682872,2.845975161,0.416222423,0.00010595,0.402228743,2.845076561,0.396478146,8.14E-05,0.624604583,2.926573277,-0.21849218,0.000147615,0.453913003,2.91761446,-0.270026863,0.000152355
normal,0.506350577,0.682504714,-1.257861733,0.999825358,0.538414121,0.622355223,-1.203375697,0.999572933,0.558972776,0.622312784,-1.20369494,0.999658883,0.577443302,0.622429788,-1.203950405,0.999446332,0.479391307,0.618311286,-1.201069474,0.999633372,0.461805701,0.616753459,-1.200343728,0.999744475,0.448744655,0.616010129,-1.200829148,0.999686539,0.605992258,0.641100824,-0.75136143,0.999557972,0.432938188,0.639086187,-0.717297077,0.999827743,0.545817435,0.749313772,-1.079720497,0.999808431,0.471348643,0.749037743,-1.070549965,0.99987483,0.754690766,0.943144977,-0.391627878,0.996227622,0.276962578,0.928299129,-0.447019368,0.999118149,0.872036576,1.274491906,-0.404587358,0.065636918,0.168605924,1.312756538,-0.383793265,0.419516593,0.859297156,1.567600131,-0.927589953,0.011239442,0.181426361,1.624191761,-0.926581562,0.07057526,0.883930802,1.675856829,-1.070081949,0.014218036,0.161496654,1.736486197,-1.080896616,0.066939205,0.834551632,1.673957705,-1.147783875,0.025699491,0.209190816,1.734265089,-1.18914938,0.112915263,0.813210011,1.630431414,-0.985580504,0.026094936,0.226074949,1.689151883,-0.989048362,0.103124514,0.66219461,1.660050273,-0.073280595,0.000368189,0.361618131,1.65791893,0.078934945,0.000376933,0.66209209,2.236623287,-0.173643351,0.000915608,0.376965433,2.236570597,0.070799589,0.000426748,0.673119068,2.761000872,0.409379482,0.000126222,0.402066737,2.760281324,0.491716981,2.89E-05,0.682897687,2.851059198,0.431065798,0.000103748,0.398892373,2.850652695,0.511393189,7.96E-05,0.622300506,2.930483103,-0.243506074,0.000143669,0.451615781,2.92653203,-0.206312895,0.00014923
normal,0.504379213,0.676417232,-1.209243774,0.999825537,0.536474764,0.617024779,-1.158465266,0.999574959,0.556996226,0.617466509,-1.158740282,0.999661565,0.575802565,0.618188143,-1.159027338,0.99944967,0.47706759,0.611806154,-1.155344963,0.999633372,0.459733665,0.610255122,-1.154576421,0.999744952,0.446765304,0.609566808,-1.155044675,0.999687254,0.603963792,0.639967203,-0.746660948,0.999558926,0.429735631,0.636788964,-0.690053582,0.999827385,0.544313729,0.743672669,-1.036333442,0.999807417,0.468986124,0.741842508,-1.026739001,0.999874532,0.7550565,0.947817683,-0.380588502,0.99606961,0.269348055,0.929958403,-0.433109432,0.999053299,0.874430418,1.274608374,-0.351159006,0.065224327,0.158603042,1.325708151,-0.373387665,0.422475785,0.85990566,1.570392489,-0.853182435,0.011001924,0.181618154,1.64172399,-0.8316679,0.069125719,0.884877503,1.682035804,-0.982059836,0.013911248,0.162062466,1.757238626,-0.964148223,0.06535615,0.834305525,1.680803061,-1.05327487,0.025180884,0.210942686,1.754954219,-1.075272202,0.110574022,0.813167036,1.635697961,-0.906093538,0.025526408,0.226156488,1.707931638,-0.887809813,0.100996003,0.661871731,1.669935584,-0.073165216,0.000369404,0.35765323,1.669430375,0.07881172,0.000374907,0.662196219,2.251654148,-0.169393256,0.000959606,0.377033412,2.252628803,0.070885703,0.000453873,0.675589621,2.779461145,0.433703244,0.000131051,0.403699487,2.781184673,0.489094257,3.05E-05,0.68588078,2.87309432,0.456714422,0.000107334,0.40003708,2.875396967,0.508327723,8.52E-05,0.62503171,2.953202248,-0.242791846,0.000148354,0.455697298,2.949895144,-0.204277635,0.000157553
normal,0.502954602,0.676139295,-1.243251681,0.999821484,0.535284698,0.616863847,-1.187121153,0.999568343,0.555981219,0.617328644,-1.187560916,0.999657154,0.574755609,0.618049622,-1.187837243,0.99944365,0.476082861,0.611624122,-1.18430686,0.9996261,0.458553284,0.609941185,-1.183613181,0.999739826,0.445657372,0.609117687,-1.184178829,0.999682605,0.603241861,0.639913917,-0.743795335,0.999557853,0.429044217,0.63631624,-0.700971305,0.999824166,0.543043494,0.743610144,-1.06489408,0.999804437,0.467342377,0.74143374,-1.055660844,0.999873042,0.754114628,0.948927164,-0.379474878,0.99586755,0.268060207,0.928123116,-0.43061325,0.998976171,0.875255167,1.27499187,-0.383055776,0.068231687,0.159552008,1.324828982,-0.346967667,0.422357887,0.860719562,1.571623087,-0.893090606,0.011067529,0.180901334,1.640165567,-0.80851537,0.067964852,0.885666668,1.684736133,-1.027360916,0.013901199,0.162154853,1.755438447,-0.946105242,0.064391539,0.834424019,1.682600617,-1.10513258,0.025081553,0.210796878,1.753130794,-1.055921555,0.10907121,0.813223898,1.637085438,-0.949269533,0.025380358,0.225793406,1.706357002,-0.866749942,0.099638261,0.657067657,1.674228072,-0.073097914,0.000386403,0.349517047,1.670906425,0.078757122,0.000387581,0.657304585,2.256387949,-0.247835934,0.00107164,0.372346669,2.251229048,-0.09469755,0.000498877,0.672271371,2.78585434,0.2627168,0.000134811,0.395897746,2.781292915,0.206742004,3.22E-05,0.682902932,2.880053043,0.272919089,0.000109632,0.391299516,2.876840115,0.213174745,8.88E-05,0.618902743,2.958328485,-0.432092905,0.000153005,0.45013538,2.948373318,-0.506052315,0.000168118
normal,0.501560986,0.675004721,-1.263283849,0.999813259,0.533941627,0.616139412,-1.202260256,0.999564171,0.554683268,0.616559744,-1.202752948,0.999650717,0.57346195,0.617308497,-1.203007936,0.999438643,0.474196106,0.611094058,-1.198465347,0.999618411,0.456676841,0.609351158,-1.197746992,0.999732137,0.443734705,0.608514726,-1.19827354,0.999676824,0.601478875,0.639679253,-0.73718828,0.999556303,0.426980764,0.636140287,-0.694483459,0.999818683,0.541841447,0.742421031,-1.079209566,0.999799848,0.465593636,0.740171134,-1.069104552,0.999869049,0.752896965,0.951520801,-0.386658192,0.995297849,0.266026706,0.927888572,-0.410239816,0.998789907,0.875655651,1.276605368,-0.445938289,0.068480685,0.138026461,1.319452405,-0.337983936,0.42366755,0.859671414,1.573184729,-0.986541569,0.011189527,0.159189761,1.618282557,-0.885372877,0.066732317,0.883169472,1.686982036,-1.126003385,0.013960693,0.145316854,1.733577609,-1.035389781,0.063396133,0.830660105,1.683144093,-1.194059849,0.025010476,0.194113523,1.71914959,-1.136609197,0.107486762,0.809639871,1.637983203,-1.039603353,0.025353454,0.207199752,1.675928712,-0.945889294,0.098230071,0.655540586,1.6842345,-0.083904952,0.000392374,0.343703777,1.677015185,0.089881264,0.000390443,0.653680861,2.26753974,-0.288769633,0.001096753,0.363372952,2.254710913,-0.060929116,0.00051394,0.66631186,2.795583487,0.250382334,0.000134299,0.381939799,2.785894871,0.267456234,3.22E-05,0.677364826,2.888846397,0.262120634,0.000107518,0.376492769,2.881432533,0.277390599,8.91E-05,0.608725965,2.968075514,-0.463175476,0.000151683,0.437039047,2.95539856,-0.45862624,0.000176524
