class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
lag_raises_2,0.466249287,0.178238854,-0.338229299,0.999972761,0.475214303,0.162958145,-0.304624587,0.999965012,0.479746222,0.163440719,-0.30459699,0.999952614,0.484951705,0.163833454,-0.304683119,0.999955177,0.458201557,0.16321516,-0.308087915,0.999964654,0.451900899,0.163577497,-0.308093876,0.999951839,0.446337789,0.164131656,-0.30807364,0.999958336,0.496217012,0.174914718,-0.114449374,0.999959171,0.438317984,0.176631555,-0.130694151,0.999946177,0.477249056,0.195626348,-0.268391162,0.999987602,0.455916554,0.196809709,-0.273723215,0.999990523,0.542982161,0.277148902,-0.024290444,0.999918103,0.398566157,0.278149009,-0.070623152,0.999924064,0.61332643,0.378960967,-0.247084409,0.995610952,0.326792181,0.383948445,-0.317641497,0.997758985,0.544645786,0.345892966,-0.609098971,0.992683232,0.40582481,0.334648758,-0.613177538,0.989116549,0.522033334,0.336133093,-0.683342934,0.976087272,0.428796202,0.330218792,-0.673918307,0.963509321,0.515180528,0.325064838,-0.658724725,0.973234296,0.436039895,0.319938481,-0.644254506,0.95788002,0.517501652,0.32743758,-0.605738759,0.958616316,0.432539016,0.319953144,-0.605121732,0.936755419,0.540966332,0.546720445,0.022091588,0.999609113,0.449651808,0.569566965,-0.022082409,0.999410748,0.600514233,0.663234293,-0.35212177,0.990453243,0.470340371,0.76127106,-0.10033793,0.972411931,0.581092834,0.846392334,-0.019389704,0.921057642,0.480123669,0.955192506,0.141550168,0.933774054,0.564338505,0.864507973,0.008419532,0.799387217,0.48795405,0.964815974,0.154930919,0.659350753,0.604648411,0.924699843,-0.169053912,0.902498424,0.480875462,1.02197814,-0.052020568,0.865896463
lag_raises_2,0.475607365,0.183321089,-0.351982772,0.999974251,0.484995812,0.168962061,-0.316779733,0.9999668,0.490617305,0.169857636,-0.316742569,0.99995476,0.49539876,0.170793474,-0.316814601,0.999956906,0.467183918,0.167909265,-0.319790542,0.999966741,0.461201936,0.168210238,-0.319832444,0.99995482,0.455601662,0.168947056,-0.319845259,0.999960899,0.502770722,0.182370394,-0.120991252,0.999960721,0.449322045,0.181466341,-0.137750268,0.999949694,0.486639231,0.204689026,-0.281694233,0.999988198,0.465626955,0.204566091,-0.286839336,0.999991059,0.544878066,0.289649904,-0.018383266,0.999910653,0.403774738,0.286420345,-0.073451884,0.999927938,0.621484995,0.396263152,-0.229305789,0.995767593,0.335146397,0.391333699,-0.302557707,0.99790585,0.555552602,0.352838218,-0.58865118,0.992878437,0.406948745,0.343513757,-0.590548933,0.989939451,0.533766568,0.345015645,-0.660736859,0.976112962,0.428647727,0.338058233,-0.649034202,0.966005445,0.525317967,0.331930012,-0.633620262,0.973183095,0.438502371,0.324921578,-0.619487405,0.960690975,0.526947141,0.334190935,-0.583764374,0.958482265,0.435472906,0.326535076,-0.581158876,0.940634131,0.539590299,0.550118864,0.033356417,0.999622703,0.455246806,0.570098102,-0.033423435,0.999443114,0.609126449,0.669303894,-0.365287632,0.990661204,0.475619853,0.770618618,-0.110690899,0.973746955,0.590308011,0.841829658,-0.04001886,0.923368812,0.485165328,0.952721179,0.141708776,0.937308192,0.573807299,0.8606112,-0.012965141,0.81047219,0.488815278,0.965824783,0.155495957,0.669216871,0.638529181,0.903231502,-0.185937494,0.906437218,0.485956252,1.020254016,-0.056570567,0.871770501
lag_raises_2,0.479519695,0.184039712,-0.269565433,0.999975562,0.48799634,0.171651557,-0.229722783,0.99996835,0.493642509,0.172664702,-0.229699343,0.999956548,0.498835534,0.173579782,-0.229757503,0.999958754,0.472352743,0.170227945,-0.23356536,0.999968469,0.466587037,0.170612201,-0.233550489,0.999957085,0.461525023,0.171360984,-0.233488709,0.999963045,0.505666733,0.184223369,-0.036663808,0.999961555,0.450114429,0.185624227,-0.057218276,0.999951899,0.48801741,0.203715861,-0.198841333,0.999988377,0.469792664,0.203159735,-0.205074057,0.999991357,0.548810422,0.291845918,0.047674626,0.99990952,0.405842185,0.289876759,-0.004415844,0.999928415,0.621385694,0.403146863,-0.157244265,0.995576024,0.3402493,0.394530326,-0.236565292,0.997917175,0.551780879,0.357181937,-0.533981502,0.992683291,0.419368535,0.345534295,-0.566258609,0.990163565,0.532897055,0.352211505,-0.586217761,0.975439548,0.439134657,0.337936223,-0.586625278,0.966473222,0.524824679,0.339976817,-0.565645158,0.972410619,0.447554946,0.327101082,-0.57612288,0.9611817,0.528401017,0.340771109,-0.529610693,0.957332492,0.444162667,0.32955876,-0.574754238,0.941225648,0.54323262,0.547519028,0.032230359,0.99964267,0.457243174,0.569270134,-0.03226956,0.999466658,0.615965366,0.677673161,-0.359675646,0.9908427,0.477023602,0.765585601,-0.101529874,0.974305272,0.59243536,0.85672462,-0.040316697,0.926624596,0.487594306,0.946189225,0.17804499,0.940011799,0.578955293,0.872255266,-0.014191589,0.818145633,0.490499228,0.962079287,0.195930228,0.675741255,0.62941879,0.941141844,-0.190071121,0.910749316,0.487110376,0.99195677,-0.032749202,0.877471924
lag_raises_2,0.477783054,0.185670108,-0.274856359,0.999974966,0.486352623,0.171968117,-0.24078238,0.999967158,0.491546839,0.173012495,-0.24076134,0.99995476,0.497074306,0.174132809,-0.240832418,0.999957383,0.471994489,0.170978904,-0.244219497,0.999967456,0.466660947,0.171546236,-0.244204089,0.999955773,0.461368054,0.17234078,-0.244161859,0.999962211,0.507152379,0.184681192,-0.05626652,0.999958873,0.452227622,0.186602607,-0.073722437,0.999949574,0.488298386,0.204630435,-0.209273115,0.999987662,0.46931693,0.203993499,-0.214838222,0.99999088,0.552114606,0.291882694,0.030041726,0.999900043,0.410809994,0.285239816,-0.023378145,0.999922991,0.622784555,0.404928237,-0.176979452,0.995289266,0.342954338,0.396046966,-0.260483652,0.997917414,0.554569721,0.356549799,-0.546993196,0.99217087,0.424762636,0.341796309,-0.5477584,0.990231514,0.533806264,0.349391818,-0.617785692,0.973935485,0.445304394,0.337454528,-0.601733208,0.966533899,0.526176751,0.338599622,-0.591369092,0.970711052,0.455531687,0.328264832,-0.57191962,0.961213529,0.529018402,0.340191931,-0.542728364,0.954883099,0.45142138,0.329156846,-0.540547848,0.941120446,0.544239342,0.552195847,0.031822249,0.999655843,0.458054066,0.57171303,-0.031846065,0.9994784,0.615513384,0.683357298,-0.387349814,0.991104782,0.476617426,0.766446412,-0.102351733,0.97489208,0.58797735,0.858508825,-0.066826597,0.930226684,0.486885846,0.945677161,0.176106915,0.94214499,0.568131685,0.883255541,-0.040746629,0.824292541,0.491385907,0.961795151,0.193587065,0.677657604,0.615893364,0.946512759,-0.224680364,0.91497612,0.494916052,0.995134056,-0.022011092,0.88168478
lag_raises_2,0.484114826,0.186466366,-0.298365355,0.999966741,0.492085546,0.173352733,-0.258265018,0.999956369,0.497385442,0.174556538,-0.258257449,0.999939799,0.502699494,0.175911143,-0.258348674,0.999943495,0.477457255,0.171798512,-0.262278348,0.999957323,0.47188285,0.172075182,-0.262285918,0.999942362,0.466182321,0.172608316,-0.262279749,0.999951482,0.510717511,0.187505618,-0.071374536,0.999947131,0.455137283,0.187765777,-0.089250669,0.999934137,0.493275166,0.205218419,-0.22516036,0.999983907,0.474107534,0.204633459,-0.231350392,0.999988079,0.555898726,0.29343909,0.014218908,0.999877751,0.412498742,0.288140386,-0.033080123,0.999913156,0.621580482,0.405902177,-0.217651039,0.994897604,0.343277663,0.3907516,-0.29332763,0.997830331,0.551660419,0.358703077,-0.580130756,0.991332352,0.419118166,0.338933021,-0.591882765,0.990070403,0.529292107,0.349831969,-0.654846907,0.97172296,0.439331919,0.334476322,-0.655892372,0.966180503,0.522848904,0.339199454,-0.63032186,0.968196332,0.449807465,0.325526357,-0.625047147,0.960827291,0.525722623,0.341252565,-0.577011824,0.951555371,0.446307957,0.326634437,-0.584025502,0.940606117,0.547457457,0.557513654,0.030988799,0.999648809,0.455339789,0.576279521,-0.031015035,0.999479771,0.612742543,0.69557488,-0.365138412,0.991048157,0.472946763,0.77978456,-0.108908772,0.974964797,0.588889062,0.857864439,-0.013844672,0.930200756,0.488055736,0.962872386,0.171534553,0.943358123,0.572810292,0.877036273,0.018263165,0.820941806,0.493482351,0.97127068,0.188548788,0.67818892,0.617363751,0.946295738,-0.185185254,0.915389776,0.485434085,1.040132642,-0.027092237,0.883825302
lag_raises_2,0.484900206,0.188088953,-0.325208426,0.999963462,0.493491679,0.176552802,-0.287995249,0.999952435,0.498768359,0.177838713,-0.287983209,0.999934852,0.504129291,0.179111063,-0.288074911,0.999939203,0.478130907,0.174650505,-0.291986525,0.999952674,0.472555161,0.174814701,-0.291949242,0.999935925,0.466865569,0.175318539,-0.291942209,0.999945879,0.51231271,0.190954015,-0.089900643,0.999944448,0.4566513,0.190534055,-0.110389158,0.999926805,0.494678199,0.206290245,-0.253326297,0.999983311,0.474482685,0.20583871,-0.259573281,0.999987483,0.555478215,0.295208454,-0.009054239,0.999876857,0.412555903,0.289192647,-0.053759407,0.999906778,0.621115506,0.405947506,-0.237151369,0.994818389,0.340909779,0.389045417,-0.314231724,0.997794151,0.553538382,0.362193435,-0.59281522,0.991373539,0.415299982,0.340180606,-0.617247283,0.990092933,0.531423628,0.352646172,-0.667636752,0.972082257,0.434246451,0.336265087,-0.682544649,0.96638602,0.524495721,0.34169215,-0.646254957,0.968557537,0.443464786,0.324609339,-0.652594984,0.961092532,0.526739717,0.343593121,-0.590591431,0.952199459,0.44107759,0.325110614,-0.610192955,0.941282809,0.547273636,0.55783993,0.03051931,0.999639094,0.454455048,0.57463479,-0.030497219,0.99947685,0.614649177,0.698316276,-0.347886324,0.991384268,0.470300436,0.777667642,-0.103600256,0.975888729,0.590189993,0.8464185,0.11500638,0.929203033,0.489297688,0.958669186,0.189290926,0.945222914,0.573700786,0.854380727,0.154092193,0.809763968,0.49394834,0.966463029,0.20860599,0.67943573,0.608184814,0.935606956,-0.006432726,0.913738668,0.492525399,1.038698792,-0.005919069,0.887199283
lag_raises_2,0.487492234,0.18713364,-0.296816021,0.99995929,0.494826466,0.175777778,-0.256444573,0.999948025,0.500003219,0.177049652,-0.25645116,0.999929309,0.504768729,0.178373232,-0.256576896,0.999934196,0.480178058,0.173866972,-0.262019455,0.999946952,0.474165231,0.17396313,-0.262015998,0.99992764,0.468094558,0.174305201,-0.262017131,0.999939024,0.513251305,0.190517217,-0.057562862,0.999940634,0.457039565,0.189238891,-0.083828293,0.99991703,0.496778399,0.205376476,-0.222668514,0.999981523,0.476883173,0.204770952,-0.231078357,0.999985278,0.555426776,0.297493637,0.022610217,0.999872267,0.413400561,0.286320657,-0.032735966,0.999900699,0.622862339,0.406130642,-0.230008319,0.994563878,0.342790544,0.38924098,-0.293752611,0.997611821,0.556246161,0.363895953,-0.561629772,0.990880191,0.423297852,0.341653496,-0.574809849,0.989446998,0.534884989,0.353189886,-0.634315491,0.970765233,0.446080327,0.337563992,-0.633809328,0.964764714,0.528326631,0.342160642,-0.608967781,0.967135012,0.453433722,0.327729404,-0.605360568,0.959314704,0.530738771,0.344664603,-0.557774961,0.95021534,0.449495882,0.328061223,-0.567302763,0.938823283,0.547394454,0.556379378,0.028041935,0.999641299,0.454037517,0.573775053,-0.027939251,0.999476552,0.610935271,0.673836648,-0.440136433,0.991261721,0.471789241,0.777429521,-0.100753672,0.974779367,0.595240772,0.845645666,-0.125904933,0.929754019,0.489832014,0.961261511,0.181257844,0.944375753,0.581582069,0.876137316,-0.100054123,0.81174171,0.497154921,0.972680092,0.19915615,0.678006113,0.631327629,0.922007561,-0.286008596,0.915548444,0.486867428,1.001941085,-0.014029085,0.885550082
lag_raises_2,0.485856444,0.186653093,-0.320567042,0.999961078,0.493663281,0.17464745,-0.283615172,0.999950111,0.499082714,0.175747678,-0.283618897,0.99993217,0.504012823,0.176952153,-0.283712327,0.999936938,0.479363084,0.172990263,-0.288239509,0.999949038,0.473677754,0.173210606,-0.288220763,0.999930382,0.46794188,0.173633724,-0.288200885,0.99994123,0.514285028,0.189098999,-0.082515538,0.999943256,0.45942688,0.188415468,-0.109130591,0.999920249,0.495619953,0.204845324,-0.248193666,0.999982476,0.475474834,0.204575703,-0.255746692,0.999986053,0.555855274,0.294251531,0.012762205,0.99987644,0.416456699,0.284068376,-0.049705975,0.999902606,0.622690141,0.406989425,-0.21967712,0.99473846,0.34148562,0.389775544,-0.293177962,0.997649729,0.558666229,0.366470307,-0.563184202,0.99123162,0.422970414,0.343204468,-0.583975613,0.989567339,0.53803432,0.356648505,-0.636931181,0.971742332,0.444958448,0.337849826,-0.644174278,0.965101779,0.53077358,0.344548255,-0.613221645,0.968203604,0.45337382,0.327949941,-0.614835799,0.95965749,0.532432377,0.346541464,-0.559619069,0.951860607,0.45010978,0.328482389,-0.575941145,0.939471424,0.54538548,0.555725753,0.03113726,0.999627888,0.454993635,0.57220608,-0.031087361,0.999469519,0.61385107,0.686253548,-0.349817485,0.991009772,0.472193778,0.775357842,-0.106332988,0.975415349,0.588978708,0.832279027,0.097458884,0.923731565,0.488666594,0.960739493,0.17623134,0.944923162,0.572345734,0.852537811,0.136744708,0.806085944,0.491636097,0.969656706,0.196529463,0.67659235,0.619928956,0.906748116,-0.004474158,0.9095577,0.494645357,0.997405827,-0.020723578,0.885677159
lag_raises_2,0.485015005,0.187050819,-0.304460347,0.999961615,0.492684215,0.173853084,-0.265358627,0.999950826,0.497683138,0.174795717,-0.265357494,0.999932885,0.502912402,0.175848708,-0.265433967,0.999937713,0.477486432,0.172626317,-0.270779222,0.999949932,0.471376985,0.172908947,-0.2707614,0.999931335,0.465543896,0.173323616,-0.270725548,0.999942303,0.512202978,0.187917769,-0.063748844,0.999944508,0.455464751,0.187199533,-0.089872159,0.999921799,0.495159328,0.205369994,-0.229127333,0.999982655,0.473939985,0.20517303,-0.237378106,0.999986291,0.555127501,0.294855326,0.021895284,0.999876142,0.414146781,0.285938889,-0.024328699,0.999902248,0.617244303,0.412452728,-0.192189932,0.994574845,0.341180801,0.387051851,-0.266437471,0.997618496,0.556046307,0.365725994,-0.553200841,0.99117738,0.418221146,0.339513451,-0.568869889,0.989510596,0.535228312,0.353612214,-0.623536587,0.971725881,0.440547347,0.334444672,-0.628900647,0.964843214,0.527770221,0.341989487,-0.601375401,0.968168795,0.448908776,0.324919045,-0.599417806,0.959352791,0.529721081,0.344782382,-0.549131989,0.951809168,0.446055233,0.325819522,-0.561077893,0.939288557,0.548939586,0.558438182,0.027295528,0.999607086,0.458067387,0.575321794,-0.027210698,0.999462903,0.612949371,0.699420869,-0.326282144,0.991070926,0.471043557,0.779814839,-0.098226264,0.975729167,0.591837406,0.852843285,0.102374353,0.920877755,0.491507143,0.964283526,0.187622607,0.946030736,0.573734164,0.867534637,0.139243469,0.798052847,0.496067822,0.971783936,0.206198737,0.682199121,0.61311847,0.943483114,-0.022105411,0.907331944,0.490325302,1.003441215,-0.009005967,0.888150275
lag_raises_2,0.486292481,0.1868352,-0.274773836,0.999963701,0.493403405,0.173452809,-0.236175403,0.999953568,0.498229206,0.174678683,-0.236159369,0.9999367,0.503106117,0.175404429,-0.236228481,0.999941289,0.478894144,0.171632931,-0.243312865,0.999952376,0.472918838,0.171932146,-0.243278921,0.999934673,0.466882557,0.172664851,-0.243244573,0.999945104,0.511742175,0.186226308,-0.034257077,0.999947548,0.455326736,0.185780928,-0.069223888,0.999925911,0.495848626,0.204167023,-0.199894935,0.99998349,0.475572973,0.20391731,-0.210639551,0.999986947,0.552141011,0.292604923,0.061112411,0.99988091,0.41198653,0.282463074,-0.009710817,0.999904335,0.613265991,0.415621608,-0.125210211,0.994188964,0.339853287,0.383134454,-0.236880228,0.997625947,0.555467904,0.364165843,-0.493892193,0.991197705,0.417018056,0.335799754,-0.530941784,0.989599645,0.535629213,0.350865066,-0.567660689,0.971975386,0.43892312,0.331309587,-0.593553722,0.964948952,0.52962184,0.339083195,-0.55278188,0.968494892,0.446727753,0.321969151,-0.561047316,0.959431469,0.531398892,0.34223479,-0.494361401,0.952208877,0.444390029,0.322437704,-0.521833897,0.939354539,0.546769798,0.55091542,0.029796166,0.999609888,0.457309991,0.568659663,-0.029710963,0.999465764,0.611166954,0.69346714,-0.332206547,0.991339922,0.47525385,0.775023878,-0.101737022,0.976272166,0.594015419,0.859465182,0.061836634,0.922640204,0.493013829,0.963268697,0.184307128,0.947423697,0.572551966,0.874407172,0.095164187,0.799418509,0.495969921,0.974092841,0.202795386,0.682364047,0.612762094,0.944703579,-0.066244103,0.9098773,0.500588596,1.004043341,-0.015393305,0.891775727
